protein_accession	CAZy_family	CAZy_ID	axial_equatorial
BAQ00669.1	X612	4819410.0	axial
AFV46136.1	X617	4829033.0	
ACD37165.1	X614	4905829.0	equatorial
ACD37173.1	X614	4905830.0	equatorial
BAQ02259.1	X614	4821460.0	
BAQ01732.1	X612	4819417.0	axial
ADC54967.1	X617	4828398.0	equatorial
AAY28257.1	X614	4905831.0	equatorial
ACD37181.1	X614	4905832.0	equatorial
BAQ01659.1	X605	4813387.0	equatorial
AHB32462.1	X617	4829313.0	
BAQ00653.1	X612	4819614.0	axial
BAQ00705.1	X612	4905833.0	
ACA24829.1	X617	4905834.0	equatorial
AAS98031.1	X617	4905835.0	equatorial
CAI32957.1	X613	4905836.0	equatorial
AAZ85718.1	X612	4905837.0	axial
AAK64372.1	X617	4905838.0	equatorial
CAI34544.1	X613	4905839.0	
BAQ02116.1	X617	4831067.0	equatorial
BAQ00746.1	X617	4905840.0	equatorial
AHB32334.1	X617	4905841.0	equatorial
CAI34641.1	X613	4905842.0	equatorial
ACA24901.1		4905843.0	equatorial
AFW04888.1		4905844.0	equatorial
ACA24840.1	X617	4905845.0	equatorial
ACA24852.1	X617	4905846.0	equatorial
BAQ01860.1	X617	4905847.0	equatorial
ACV67297.1		4905848.0	equatorial
AAT85653.1	X617	4905849.0	equatorial
BAL03056.1	X617	4831151.0	equatorial
WP_046788607.1		4905850.0	
WP_000456161.1		4905851.0	
AAL27339.1	X617	4905852.0	equatorial
AHB32283.1	X617	4905853.0	
ABI98976.1		4905854.0	equatorial
BAQ01293.1		4905855.0	equatorial
AAO37701.1		4905856.0	equatorial
WP_024244058.1		4905857.0	equatorial
ACH97162.1		4905858.0	equatorial
ACH97143.1	X608		axial
ACH97132.1	X608		axial
ABE98413.1	X608		axial
AFW04860.1	X617		equatorial
AHB32666.1			
ADC54929.1			equatorial
AFW04684.1			equatorial
AFW04785.1	X617		equatorial
ABB29906.1	X617		equatorial
ADC54957.1	X617		equatorial
AAM27879.1	X617		equatorial
ABK27350.1			equatorial
ABK27351.1			equatorial
BAI31288.1			equatorial
ABK27354.1			equatorial
ABK27355.1			equatorial
ABK27352.1			equatorial
ACV67289.1	X617		equatorial
ABK27321.1			equatorial
AIG62747.1	X613		equatorial
ABB29916.1	X617		equatorial
AHB32311.1			
AQU71739.1	X617		equatorial
AQU71717.1	X617		equatorial
AFW04812.1	X617		equatorial
AHB32832.1			
BAQ01563.1			equatorial
AHB32888.2	X617		axial
ACD37105.1			equatorial
ACD37138.1			equatorial
ACD37146.1			equatorial
BAQ00812.1			
BAQ00634.1			equatorial
BAQ01137.1	X612		axial
BAQ01675.1	X612		axial
ABI98966.1			equatorial
AAV41072.1			
ACA24803.1			equatorial
ACA24792.1			equatorial
ACD37126.1			axial
BAQ00957.1	X613		equatorial
BAQ01687.1			equatorial
ACD75809.1			equatorial
BAQ01012.1			equatorial
AAN60459.1			equatorial
WP_000936589.1			equatorial
WP_000936592.1			equatorial
BAQ01169.1			equatorial
WP_001529369.1			equatorial
CAA43912.1			
WP_000936591.1			
ACF64132.1			equatorial
AAM27560.1			axial
AAM27711.1			axial
WP_000220864.1			
ABA42232.1			axial
BAQ01516.1			axial
AHB32774.1			equatorial
CAI34587.1			equatorial
ABU80601.1			equatorial
BAQ00858.1	X631		equatorial
ABI98986.1			equatorial
ACA24776.1	X631		equatorial
BAQ01743.1	X631		
ACD37111.1			equatorial
AFW04735.1			
ACD37117.1			equatorial
ADI43271.1	X634		equatorial
BAQ01702.1			equatorial
AAV74550.1			equatorial
ACH97152.1			equatorial
ABE98437.1			equatorial
BAQ01716.1			equatorial
ABI55342.1	X631		equatorial
AHB32614.2			
AFW04802.1			
AHB32687.1	X631		
BAQ01780.1			axial
CAI33798.1			axial
CAI33774.1			
AHB32586.1			axial
BAQ01266.1			equatorial
BAQ01456.1			equatorial
CAI33029.1			equatorial
ABZ79721.1			equatorial
CAI32973.1			equatorial
ABB65530.1			equatorial
CAI32993.1			equatorial
AAY28249.1			equatorial
AAZ91245.1			
CAI33011.1			equatorial
BAQ00927.1			equatorial
AAL27351.1			axial
BAQ01419.1			equatorial
AHB32438.2			equatorial
ADV17650.1	X634		equatorial
AJE24464.1			axial
AEP25477.1			equatorial
BAQ01812.1			equatorial
ACD37078.1			equatorial
AAV74543.1			equatorial
ACD37086.1			equatorial
AFW04668.1			
AAD50486.1			equatorial
WP_016238111.1	X631		equatorial
BAQ00893.1			equatorial
CAI33466.1			equatorial
BAG11898.1			equatorial
WP_000482333.1			equatorial
BAQ01999.1	X634		equatorial
CAI33366.1			equatorial
CAI33389.1			equatorial
CAI34436.1			axial
BAQ01641.1	X631		equatorial
CAI33324.1			equatorial
CAA43077.1			axial
WP_000231472.1			
AGS07327.1			axial
CAI33941.1			
CAI33915.1			
AGS07316.1			axial
AKL88154.1			
AEP25500.1			equatorial
AGS07363.1			axial
AKA20935.1			axial
AAB48190.1			axial
CAI33890.1			
AKA20966.1			axial
BAQ01218.1			equatorial
ACD37051.1			equatorial
AAO37717.1			axial
BAQ01584.1	X631		equatorial
CAI32727.1			equatorial
CAI33652.1			equatorial
CAI33675.1			equatorial
AFW04741.1			equatorial
ACD36996.1			equatorial
ACD36984.1			equatorial
AAV34523.1			
BAQ01960.1			equatorial
CAI34032.1			
BAQ01114.1			equatorial
CAI34057.2			
CAI33817.1			axial
ACD37058.1			equatorial
AFW04790.1			axial
AHB32242.2			equatorial
CAI33515.1			equatorial
AFW04716.1			
ADN43871.1			equatorial
CAI33207.1			equatorial
CAI33149.1			equatorial
CAI33169.1			equatorial
BAQ01277.1			equatorial
CAI33491.1			equatorial
BAQ01238.1			equatorial
AAX58762.1			equatorial
BAQ01793.1			equatorial
AHG15281.1			equatorial
AFD18613.1			equatorial
AAD45264.1			equatorial
CAI33745.1			
CAI34613.1			
BAQ00975.1			equatorial
CAI33278.1			equatorial
CAI33252.1			
CAI34753.1			
AAM27574.1			equatorial
CAI33412.1			equatorial
CAI33226.1			equatorial
CAI33128.1			equatorial
CAI33188.1			equatorial
CAI33862.1			equatorial
ABD19779.1			equatorial
CAI33343.1			equatorial
WP_074526664.1			
BAQ01317.1			equatorial
BAQ00736.1			equatorial
CAS09721.1			axial
AAR90892.1			axial
BAQ01361.1			equatorial
AAY23739.1			axial
WP_000905563.1			axial
AAO68867.1			axial
AAV77445.1			axial
ACF69726.1			
CAR59582.1			axial
AAL20257.1			axial
ACH74809.1			
CAR37642.1			axial
AAV34494.1			
ACA24912.1			axial
EKK44895.1			axial
BAK68980.1			axial
ABE98419.1			equatorial
BAK69191.1			axial
ADN43845.1			equatorial
AAY23733.1			axial
ACD37157.1			equatorial
EKI39969.1			axial
AAC32340.1			axial
AAY23745.1			axial
BAQ02177.1			axial
BAQ02105.1			axial
BAQ00945.1			axial
CAI32705.1			axial
ADJ19217.1			axial
BAK69033.1			axial
EKI95922.1			axial
BAQ01155.1			axial
BAQ01935.1			axial
WP_097449287.1			axial
BAQ00994.1			equatorial
BAQ01894.1			equatorial
ACD37006.1			equatorial
CAI33561.1			equatorial
CAI33585.1			equatorial
BAQ01878.1			equatorial
ADN43858.1			equatorial
ACA24739.1			axial
ACD37014.1			equatorial
AAL27327.1			equatorial
ADC54974.1			equatorial
CAI33840.1			axial
AHB32357.1			
AFE83402.1			equatorial
WP_001300154.1			equatorial
ABX51880.1			axial
AHB32538.1			equatorial
CAI33610.1			equatorial
ADX97403.1			equatorial
CAI33537.1			equatorial
BAQ00846.1			equatorial
BAQ01386.1			
CAI34498.1			axial
AHB32267.1			
AHB32386.1			
CAI32797.1			equatorial
CAI32935.1			equatorial
CAI32867.1			equatorial
CAI32889.1			equatorial
CAI32910.1			equatorial
CAI33105.1			equatorial
CAI33048.1			equatorial
CAI34733.1			equatorial
CAI33084.1			equatorial
CAI34099.1			equatorial
CAI34454.1			
CAI34475.1			axial
AAN23041.1			equatorial
CAB63298.1	X633		axial
ADI59429.1			equatorial
AAN23078.1			equatorial
ADI59445.1			equatorial
AKA20948.1	X633		axial
AAN23057.1			equatorial
AKA20981.1			axial
AKA20999.1			axial
ACV52983.1	X633		axial
ACV53000.1	X633		
CAX18360.1			axial
AIG62684.1			
ABI34565.1			equatorial
ADI43263.1			equatorial
BAQ00758.1	X633		axial
BAQ00830.1			equatorial
BAQ00879.1	X633		axial
ACA24882.1			equatorial
AAV74376.1			axial
BAQ01207.1			equatorial
AAK60458.1			equatorial
ABB04486.1			equatorial
ADR74237.1			equatorial
BAQ01533.1			equatorial
ADN43838.1			equatorial
ADB02825.1			axial
ABG81806.1	X633		axial
BAQ02068.1	X633		axial
BAQ01598.1			
ACA24890.1			equatorial
ADJ19203.1			equatorial
BAQ01843.1	X633		axial
ADN43883.1			axial
AAT28922.1			axial
BAQ01917.1			equatorial
BAQ02015.1			equatorial
BAQ02031.1			axial
AAD44158.1	X633		axial
BAH24292.1	X633		axial
ACD75796.1			axial
BAQ01494.1			equatorial
AFS33314.1			equatorial
AFC91472.1	X633		axial
AFC91514.1	X633		axial
AAO39700.1	X633		axial
AFC91570.1	X633		axial
AJR19430.1	X633		axial
WP_038349068.1			
AAZ20761.1			axial
BAQ02224.1	X633		axial
AAR24270.1			axial
AAR97964.1	X633		axial
ACA24868.1			equatorial
ACD37026.1			equatorial
ACD37072.1			axial
AAM27595.1			axial
AFW04696.1			
AFW04757.1			
AFW04828.1			equatorial
AFW04837.1			equatorial
AAC38177.1			
AAL91079.1			
AAL91080.1			
AAL91081.1			
AAL91082.1			
WP_237703389.1			
ACF92750.1			
AGS07346.1			axial
AAV34507.1			
