protein_accession	CAZy_family	CSDB_Linear_corrected
CAI32993.1		-4)[Ac(1-2)]aDGlcpN(1-4)aDGlcpA(1-3)aDGalp(1-3)[Ac(1-2)]bDManpN(1-4)bDGlcp(1-
CAI33011.1		-4)[Ac(1-2)]aDGlcpN(1-4)aDGlcpA(1-3)aDGlcp(1-3)[Ac(1-2)]bDManpN(1-4)bDGlcp(1-
CAI33029.1		-4)[4%Ac(1-3),3%Ac(1-2)]aDGlcp(1-4)[25%Ac(1-3),17%Ac(1-2)]aDGlcpA(1-3)aDGalp(1-3)[55%Ac(1-6),6%Ac(1-4),Ac(1-2)]bDManpN(1-4)bDGlcp(1-
CAI33105.1		-4)[bDGalf(1-6),Ac(1-2)]bDGalpN(1-3)aDGalp(1-4)xDRib-ol(5-P-5)bDGalf(1-3)bDGalp(1-
CAI33048.1		-4)[bDGalf(1-3),Ac(1-2)]bDGalpN(1-3)aDGalp(1-2)xDRib-ol(5-P-5)bDGalf(1-3)bDGalp(1-
CAI34733.1		-4)[bDGalf(1-3),Ac(1-2)]bDGalpN(1-3)aDGalp(1-4)xDRib-ol(5-P-5)bDGalf(1-3)bDGalp(1-
CAI33084.1		-4)[bDGalf(1-6),Ac(1-2)]bDGalpN(1-3)aDGalp(1-2)xDRib-ol(5-P-5)bDGalf(1-3)bDGalp(1-
CAI33207.1		-6)[x?Rib-ol(1-P-4),Ac(1-3),Ac(1-2)]aDGlcpN(1-4)aDGalp(1-3)[%Ac(1-6),%Ac(1-4)]bDGalp(1-4)bDGlcp(1-
CAI33128.1		-6)[x?Gro(1-P-4),<<50%Ac(1-3)|60%Ac(1-2)>>]aDGlcp(1-4)aDGalp(1-3)[50%Ac(1-6),Ac(1-4)]bDGalp(1-4)bDGlcp(1-
CAI33149.1		-6)[x?Rib-ol(1-P-4),%Ac(1-3),Ac(1-2)]aDGlcpN(1-4)[%Ac(1-2)]aDGalp(1-3)bDGalp(1-4)bDGlcp(1-
CAI33169.1		-6)[x?Gro(1-P-4),Ac(1-2)]aDGlcpN(1-4)aDGalp(1-3)bDGalp(1-4)bDGlcp(1-
CAI33188.1		-6)[x?Gro(1-P-4),%Ac(1-3),%Ac(1-2)]aDGlcp(1-4)aDGalp(1-3)[%Ac(1-6),Ac(1-4)]bDGalp(1-4)bDGlcp(1-
CAI33278.1		-4)[aDGlcp(1-2)aDGlcp(1-3),Ac(1-2)]bDManpNA(1-4)[aDGalp(1-3),Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGalpN(1-
CAI33226.1		-4)[aDGlcp(1-2)aDGlcp(1-3),Ac(1-2)]bDManpNA(1-4)[Ac(1-2)aDGalpN(1-3),Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
CAI33252.1		
CAI33309.1	X613	-3)bDGalf(1-4)[Ac(1-2)]bDGlcpN(1-2)xDRib-ol(5-P-4)bDGalp(1-4)[Ac(1-3),Ac(1-2)]bDGlcp(1-
CAI33324.1		-6)[bDGalp(1-4),Ac(1-2)]bDGlcpN(1-3)bDGalp(1-4)bDGlcp(1-
CAI33412.1		-3)aDGalp(1-2)[xXCho(1-P-3)]bDGalp(1-4)[Ac(1-2)]bDGlcpN(1-3)bDGalp(1-4)bDGlcp(1-
CAI33343.1		-3)aDGalp(1-2)[x?Gro(2-P-3)]bDGalp(1-4)[Ac(1-2)]bDGlcpN(1-3)bDGalp(1-4)bDGlcp(1-
CAI33366.1		-6)[%Ac(1-2)[%Ac(1-6),%Ac(1-4),%Ac(1-3)]aDGalp(1-2)[x?Gro(2-P-3)]bDGalp(1-4),Ac(1-2)]bDGlcpN(1-3)bDGalp(1-4)bDGlcp(1-
CAI33389.1		-6)[aDGalp(1-2)[x?Gro(2-P-3)]bDGalp(1-4),Ac(1-2)]bDGlcpN(1-3)bDGalp(1-4)bDGlcp(1-
CAI33466.1		-3)[x?Gro(1-P-4)]aLRhap(1-3)[x?Gro(1-P-6)]aDGlcp(1-3)[Ac(1-2)]bLRhap(1-4)bDGlcp(1-
CAI33441.1	X613	-3)[70%Ac(1-2)]bDGalf(1-3)aLRhap(1-2)aLRhap(1-3)[x?Gro(1-P-6)]aDGalp(1-3)bDGalp(1-4)bDGlcp(1-
CAI33515.1		-3)aDGalp(1-3)[bDGalp(1-4)]bLRhap(1-4)aLRhap(1-2)xDAra-ol(1-P-3)bLRhap(1-4)bDGlcp(1-
CAI33491.1		-3)aDGalp(1-3)[bDGalp(1-4),Ac(1-2)]bLRhap(1-4)aLRhap(1-4)bDGlcpA(1-3)[aDGlcp(1-2)]bDGalf(1-3)bDGlcp(1-
CAI33610.1		-4)[x?Gro(1-P-3),Ac(1-6)aDGlcp(1-2)]bDGalp(1-4)aDGlcp(1-3)[Ac(1-2)]bLRhap(1-4)bDGlcp(1-
CAI33537.1		-4)[xDGro(1-P-3),aDGlcp(1-2)]bDGalp(1-4)[Ac(1-2)]aDGlcpN(1-3)bLRhap(1-4)bDGlcp(1-
CAI33561.1		-4)[xDGro(1-P-3),aDGlcp(1-2)]bDGalp(1-4)aDGlcp(1-3)bLRhap(1-4)bDGlcp(1-
CAI33585.1		-4)[xDGro(1-P-3),Ac(1-3)aDGlcp(1-2)]bDGalp(1-4)aDGlcp(1-3)aLRhap(1-4)bDGlcp(1-
CAI33700.1	X612	-2)aLRhap(1-P-4)[Ac(1-2)]bDManpN(1-4)aDGlcp(1-
CAI33631.1	X612	-3)aLRhap(1-P-4)[Ac(1-2)]bDManpN(1-4)aDGlcp(1-
CAI33652.1		-4)[bDRibf(1-4)aLRhap(1-3),Ac(1-2)]bDManpN(1-4)aLRhap(1-P-4)[Ac(1-2)]bDManpN(1-4)bDGlcp(1-
CAI33675.1		-4)[bDGlcp(1-6),bDRibf(1-4)aLRhap(1-3),Ac(1-2)]bDManpN(1-4)aLRhap(1-P-4)[Ac(1-2)]bDManpN(1-4)bDGlcp(1-
CAI33718.1	X617	-3)[bDGalf(1-4),Ac(1-2)]aDGlcpN(1-P-6)aDGlcp(1-6)bDGlcp(1-3)bDGalf(1-3)bDGlcp(1-
CAI33745.1		
CAI33798.1		-3)aDGalf(1-2)aLRhap(1-4)bDGlcpA(1-4)[aDGlcp(1-3)]bLRhap(1-4)aDGlcp(1-
CAI33774.1		
CAI33862.1		-4)[x?Gro(2-P-3),aLRhap(1-2)]bDGalp(1-4)bLRhap(1-4)bDGlcp(1-
CAI33817.1		-4)bDGlcp(1-3)[aLRhap(1-2)[x?Gro(2-P-3)]bDGalp(1-4)]bLRhap(1-
CAI33840.1		-4)bDGlcp(1-4)[x?Gro(2-P-3)]bDGalp(1-4)bLRhap(1-
CAI33941.1		
CAI33890.1		
CAI33915.1		
CAI33983.1	X608	
CAI33966.2	X608	
CAI34008.1	X617	-3)[xSPyr(2-6:2-4),Ac(1-2)]bDGlcpN(1-3)aDGalp(1-4)[xXCho(1-P-2)]bLRhap(1-4)bDGlcp(1-
CAI34057.2		
CAI34032.1		
CAI34080.1	X613	-6)bDGalf(1-1)xDRib-ol(5-P-4)[Ac(1-2)]bDGalpN(1-6)bDGalf(1-3)bDGalp(1-
CAI34099.1		-2)bLRhap(1-3)bDGalf(1-3)bLRhap(1-4)bDGlcpA(1-3)bDGalf(1-
CAI34150.1	X607	-3)[aLRhap(1-P-2)]aDGlcp(1-4)[xXCho(1-P-3),Ac(1-2)]bLRhap(1-4)bDGlcp(1-
CAI34124.1	X607	-3)[Ac(1-4),aLRhap(1-P-2)]aDGlcp(1-4)[xXCho(1-P-3),Ac(1-2)]bLRhap(1-4)bDGlcp(1-
CAI34254.1	X609	-5)bDGalf(1-3)bDGalp(1-3)[aDGalp(1-2)]aDGalp(1-3)bDGalf(1-3)bDGlcp(1-
CAI34177.1	X609	-3)bDGalp(1-3)[aDGalp(1-2)]aDGalp(1-3)[Ac(1-6),Ac(1-5)]bDGalf(1-3)bDGlcp(1-5)[Ac(1-2)]bDGalf(1-
CAI34198.1	X609	-3)[Ac(1-2)]bDGalpN(1-3)[aDGalp(1-2)]aDGalp(1-4)xDRib-ol(5-P-2)aDGlcp(1-3)bDGlcp(1-5)[Ac(1-2)]bDGalf(1-
CAI34217.1	X609	-5)[Ac(1-6)]bDGalf(1-3)[Ac(1-2)]bDGalpN(1-3)[aDGalp(1-2)]aDGalp(1-3)xDRib-ol(5-P-3)aDGalp(1-3)bDGalp(1-
CAI34236.1	X609	-5)[Ac(1-2)]bDGalf(1-3)[Ac(1-2)]bDGalpN(1-3)[aDGalp(1-2)]aDGalp(1-4)xDRib-ol(5-P-2)aDGalp(1-3)bDGlcp(1-
CAI34269.1	X612	-2)[%Ac(1-6)]bDGalf(1-3)aDGalp(1-2)xDRib-ol(5-P-3)bDGalf(1-3)aDGlcp(1-
CAI34348.1	X613	-3)aDGalp(1-2)x?Rib-ol(5-P-3)bDGalf(1-3)bDGalp(1-6)[Ac(1-2)]bDGalf(1-
CAI34286.1	X613	-6)[Ac(1-2)]bDGalf(1-1)xDMan-ol(6-P-3)bDGalp(1-3)[Ac(1-6),Ac(1-5)]bDGalf(1-3)bDGlcp(1-
CAI34310.1	X613	-6)bDGalf(1-1)xDRib-ol(5-P-4)[Ac(1-2)]bDGalpN(1-6)bDGalf(1-3)bDGlcp(1-
CAI34328.1	X613	-6)bDGalf(1-1)x?Man-ol(6-P-3)[aDGlcp(1-2)]bDGalp(1-3)bDGalf(1-3)bDGlcp(1-
CAI34369.1	X613	
CAI34407.1	X608	
CAI34436.1		-6)bDGalf(1-3)bDGalp(1-4)[bDGalp(1-6),35%Ac(1-3)[65%Ac(1-6)]bDGalf(1-3),Ac(1-2)]bDGalpN(1-3)aDGalp(1-1)xDRib-ol(5-P-
CAI34454.1		
CAI34498.1		-4)bDGlcpA(1-3)[aDGlcp(1-2)]bDGalf(1-3)bDGlcp(1-3)bDGlcp(1-3)[%Ac(1-2)[%Ac(1-4),%Ac(1-3)]bDRhap(1-2)]aDRhap(1-
CAI34475.1		-4)bDGlcpA(1-3)[aDGlcp(1-2)]bDGalf(1-3)bDGlcp(1-3)bDGlcp(1-3)[bLRhap(1-2)]aDRhap(1-
CAI34519.1	X613	-6)aDGalf(1-1)xDMan-ol(5-P-3)[aDGlcp(1-2)]bDGalp(1-3)bDGalf(1-3)bDGlcp(1-
CAI34544.1	X613	
CAI34753.1		
CAI34587.1		-3)[Ac(1-2)]bDGalpN(1-2)aLRhap(1-3)[aDGalp(1-6)]aDGalp(1-3)[Ac(1-2)[x?Gro(1-P-6)]bDGlcpN(1-4),Ac(1-2)]aLFucpN(1-
CAI34613.1		
CAI34657.1	X613	-3)aDGalp(1-2)xDRib-ol(5-P-6)[Ac(1-5),Ac(1-3)]bDGalf(1-3)bDGalp(1-6)[Ac(1-2)]bDGalf(1-
CAI34641.1	X613	-4)[bDGlcp(1-6),Ac(1-2)]aDGlcpN(1-4)[bDGlcp(1-3)]aDGalp(1-2)xDRib-ol(5-P-6)[Ac(1-5),Ac(1-3)]bDGalf(1-3)bDGalp(1-
CAI34680.1	X607	
AAN23041.1		-3)[aXParf(1-3)bD6dmanHepp(1-4)]aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
CAB63298.1	X633	-2)[bXParp(1-3)]bDManp(1-4)aDManp(1-3)aLFucp(1-3)[Ac(1-2)]aDGlcpN(1-
ADI59429.1		-2)[bXParf(1-3)]aDManp(1-3)aLFucp(1-3)[Ac(1-2)]bDGalpN(1-
AAN23078.1		-3)[aXAbep(1-3)bD6dmanHepp(1-4)]aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
ADI59445.1		-2)[aXAbep(1-3)]aDManp(1-3)aLFucp(1-3)[Ac(1-2)]bDGalpN(1-
AKA20935.1		-6)[aXAbep(1-3)]aDManp(1-2)aDManp(1-2)bDManp(1-3)[Ac(1-2)]aDGalpN(1-
AKA20948.1	X633	-2)aDManp(1-3)[bXParp(1-4)]aLFucp(1-3)[Ac(1-2)]aDGalpN(1-
AKA20966.1		-6)[aXTyvp(1-2)]aDManp(1-2)aDManp(1-2)bDManp(1-3)[Ac(1-2)]aDGalpN(1-
AAN23057.1		-3)[aXTyvp(1-3)bD6dmanHepp(1-4)]aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AKA20981.1		-2)[aXAsc?(1-3)]aLFucp(1-3)aDManp(1-4)aLFucp(1-3)[Ac(1-2)]aDGalpN(1-
AKA20999.1		-2)[aLAltf(1-3)]aLFucp(1-3)aDManp(1-4)aLFucp(1-3)[Ac(1-2)]aDGalpN(1-
AEP25500.1		-3)[Ac(1-2)]bDGlcpN(1-6)[aXColp(1-2)bXYerp(1-3),Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGalpN(1- // Yer = 3,6-dideoxy-4-C-[(S)-1-hydroxyethyl]-D-xylo-hexose (yersiniose A)
AEP25477.1		-6)[aXColp(1-3)]bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-3)[aDGlcp(1-6),Ac(1-2)]bDGalpN(1-
AKL88154.1		
CDF66396.1	X611	-4)[Ac(1-3),Ac(1-2)]bDGlcpNA(1-4)[aDGalp(1-3),Am(1-2)]aLFucpN(1-3)[Ac(1-2)]aDGlcpN(1-
ADX97403.1		-4)[aXColp(1-6),aXColp(1-3)]aDGlcp(1-4)aDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ACV52983.1	X633	-2)[aL6dAltf(1-3)]bDManp(1-4)aDManp(1-3)aLFucp(1-3)[Ac(1-2)]aDGlcpN(1-
AFV46136.1	X617	
ACV53000.1	X633	
CAX18360.1		-2)[bXParf(1-3)]aLFucp(1-3)aDManp(1-4)aLFucp(1-3)[Ac(1-2)]aDGalpN(1-
ADV17650.1	X634	-4)[aLFucp(1-3),Ac(1-2)]aDGalpN(1-6)aDManp(1-3)aLFucp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ00634.1		-2)bDGlcp(1-6)[Ac(1-2)]aDGlcpN(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
ACD37165.1	X614	-2)aLRhap(1-2)aLRhap(1-3)[aDGlcp(1-2)]aLRhap(1-3)[%Ac(1-6),Ac(1-2)]bDGlcpN(1-
ACD37173.1	X614	-2)aLRhap(1-2)aLRhap(1-3)[Ac(1-2)]aLRhap(1-3)[aDGlcp(1-6),Ac(1-2)]bDGlcpN(1-
AAV74543.1		-2)bDGalp(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ00653.1	X612	-2)bDGalf(1-6)aDGlcp(1-3)[Ac(1-2)]aLRhap(1-3)[aDGlcp(1-6),Ac(1-2)]aDGlcpN(1-
AAY23739.1		-6)aDManp(1-2)aDManp(1-2)bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
AAY23733.1		-6)aDManp(1-2)[aDGlcp(1-4)]aDManp(1-2)[aDGlcp(1-3)]bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
AAY23745.1		-6)aDManp(1-2)aDManp(1-2)[aDGlcp(1-4)]bDManp(1-3)[aDGlcp(1-6),Ac(1-2)]aDGlcpN(1-
ADC54950.1	X612	-2)aLRhap(1-6)aDGlcp(1-4)[Ac(1-2)bDGlcpN(1-3)]aDGalp(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ00669.1	X612	-3)aLRhap(1-6)aDGlcp(1-4)[bDGlcp(1-3)]aDGalp(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ00705.1	X612	
AIG62684.1		
ADN43858.1		-6)[bDGlcp(1-4),Ac(1-2)]aDGlcpN(1-4)bDGlcpA(1-4)[Ac(1-2)]bDGlcpN(1-
ACH97162.1		-3)[bDGalp(1-4)]bDGalp(1-4)[Ac(1-2)bDGlcpN(1-2)]bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ00736.1		-6)aDGlcp(1-4)bDGlcpA(1-4)[Ac(1-3),Ac(1-2)]bDGalpN(1-3)aDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ABI34565.1		-6)aDGlcp(1-4)bDGlcpA(1-4)[Ac(1-3),Ac(1-2)]bDGalpN(1-3)aDGalp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ00746.1	X617	-6)aDGlcp(1-4)[Ac(1-2)bDGlcN(1-3)]bDGalp(1-3)[Ac(1-2)]aDGalpN(1-3)[aDGlcp(1-6),Ac(1-2)]bDGlcpN(1-
ABB29906.1	X617	-7)[Ac(1-5)]aXNeup(2-3)[aDGlcp(1-2)]bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
ADI43263.1		-4)[bDGlcp(1-6),aLRhap(1-3)]aDGlcp(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
ADI43271.1	X634	-4)[<<37%Ac(1-4)|22%Ac(1-3)>>bDGlcpA(1-3),bDGlcp(1-2)]aDGalp(1-6)bDGlcp(1-3)[bDGlcp(1-6),Ac(1-2)]bDGalpN(1-
BAQ00758.1	X633	-3)bDGlcp(1-3)xDGro(1-P-4)[Ac(1-2)]bDGlcpN(1-3)[Ac(1-2)]aDGlcpN(1-
ABF01010.1	X608	-2)xRGro(1-P-4)[Ac(1-2)]bDGlcpN(1-3)[Ac(1-2)]bDGalf(1-3)[Ac(1-2)]aDGlcpN(1-
ACK44379.1	X608	-2)xRGro(1-P-4)[aDGlcp(1-3),Ac(1-2)]bDGlcpN(1-3)[Ac(1-2)]bDGalf(1-3)[Ac(1-2)]aDGlcpN(1-
ACA24852.1	X617	-3)xDGro(1-P-6)bDGlcp(1-4)[aDGlcp(1-6)aDGalp(1-3),Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ00780.1	X611	-4)bDGlcpA(1-4)[Ac(1-2)bDGlcpN(1-2)]bDGlcpA(1-3)[Ac(1-2)]aDGlcpN(1-
ACD37058.1		-6)aDGalp(1-4)bDGlcpA(1-6)bDGalp(1-4)[<<30%Ac(1-3)|20%Ac(1-2)>>]bDGalp(1-4)[Ac(1-2)]bDGlcpN(1-
BAQ00795.1	X605	-2)[x?Gro(2-P-3)]bDGalp(1-4)[Ac(1-2)]bDGlcpN(1-3)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ00812.1		
ACV67289.1	X617	-3)[Ac(1-2)[NH2(1-6)]aDGalpNA(1-2)]aLRhap(1-2)aLRhap(1-3)aLRhap(1-2)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ00830.1		-4)[aLRhap(1-2)aLFucp(1-3)]aDManp(1-3)aLFucp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ00846.1		-4)[xDGro(1-P-3),Ac(1-2)]bDGalpN(1-3)aDGalp(1-4)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ00858.1	X631	-6)[Ac(1-2)]bDGlcpN(1-3)[Ac(1-2)aDGlcpN(1-4),Ac(1-2)]bDGalpN(1-4)bDGlcpA(1-3)[Ac(1-2)]bDGalpN(1-
BAQ00879.1	X633	-3)[lR3HOBut(1-4)]bDQuip4N(1-2)[aDGalp(1-3)]aDManp(1-4)aLRhap(1-3)[Ac(1-2)]aDGlcpN(1-
ACD37117.1		-2)bDGalp(1-4)bDManp(1-4)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ00893.1		-3)aDGalp(1-3)[bDGlcpA(1-4)]aLFucp(1-4)[Ac(1-2)]bDGlcpN(1-3)aLFucp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ00927.1		-4)[aLFucp(1-3),70%Ac(1-2)]bDManp(1-3)aDManp(1-3)aLFucp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ00957.1	X613	-4)[70%Ac(1-3)xLThr(2-6)]bDGlcpA(1-6)bDGalp(1-6)bDGlcp(1-3)[15%Ac(1-6),Ac(1-2)]bDGalpN(1-
BAQ00975.1		-4)[Ac(1-2)[Ac(1-3)]aDGalpA(1-3),Ac(1-2)]bDGalpN(1-3)aDGalp(1-4)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ00994.1		-2)[lS3HOBut(1-4)]aDQuip4N(1-4)[Ac(1-2)]bDGalpN(1-4)aLRhap(1-3)[30%Ac(1-6),Ac(1-2)]bDGlcpN(1-
ACD75809.1		-3)[Ac(1-3)aDFucp3N(1-2)]aLRhap(1-2)aLRhap(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
BAQ01024.1	X617	-3)[Ac(1-2)bDGlcpN(1-2)]aLRhap(1-2)aLRhap(1-4)aDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
ABZ79721.1		-3)[aDGlcp(1-2)]aLRhap(1-4)bDGlcpA(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
BAQ02116.1	X617	-4)aDGalpA(1-2)aLRhap(1-2)bDRibf(1-4)bDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
ABB29916.1	X617	-7)[Ac(1-5)]aXNeup(2-3)[aDGalp(1-2)]bDGlcp(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24882.1		-4)[lRLac(2-3)[Ac(1-2)]aLRhap(1-3)]bDManp(1-4)aDManp(1-3)[Ac(1-2)]bDGlcpN(1-
AAV74376.1		-6)[aDGalpA(1-3)]aDManp(1-3)aDManp(1-3)bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
ADJ19217.1		-4)[70%Ac(1-8),Ac(1-7),Ac(1-5)]aX8eLegp(2-4)bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
BAQ01114.1		-3)[Ac(1-2)]aDManpN(1-3)bDGlcpA(1-3)[bDGalp(1-6)]bDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01137.1	X612	-2)[Ac(1-3)]bDQuip3N(1-4)[NH2(1-6)]aDGalpA(1-4)[Ac(1-2)]aDGalpN(1-4)bDGalpA(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ01169.1		-3)[70%Ac(1-6),lRLac(2-4),Ac(1-2)]bDGlcpN(1-2)aLRhap(1-2)aLRhap(1-2)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
CBN82200.1	X606	-4)[Ac(1-3)]bDQuip3N(1-3)aDFucp(1-3)bDGalp(1-3)[aDGlcp(1-4),Ac(1-2)]aDGalpN(1-
AFE83402.1		-4)[aXColp(1-6),aXColp(1-3)]aDGlcp(1-4)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
ADI77033.1	X606	-4)[Ac(1-3)]aDQuip3N(1-3)[10%Ac(1-4)]aLRhap(1-4)[55%Ac(1-3),30%Ac(1-2)]bDGalp(1-3)[Ac(1-2)]aDGalpN(1-
BAQ01207.1		-6)[Ac(1-3)bDFucp3N(1-3),Ac(1-2)]aDGlcpN(1-4)bDGalpA(1-3)[Ac(1-2)]bDGlcpN(1-
ADC54967.1	X617	-3)[bDManp(1-4)]aDGalp(1-4)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01218.1		-4)bDGlcpA(1-4)[70%Ac(1-3),Ac(1-2)]bDGalpN(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGalpN(1-
