DATASET_COLORSTRIP		
SEPARATOR TAB		
DATASET_LABEL	class	
WP_130994685.1	#00FF00	2
WP_072308197.1	#00FF00	2
WP_063586089.1	#00FF00	2
WP_130986247.1	#00FF00	2
WP_046457287.1	#00FF00	2
EDH2826581.1	#00FF00	2
WP_048275709.1	#00FF00	2
KFC98464.1	#00FF00	2
WP_106878235.1	#00FF00	2
WP_031523279.1	#00FF00	2
WP_061280875.1	#00FF00	2
WP_182929822.1	#00FF00	2
WP_064541005.1	#00FF00	2
EJD5394901.1	#00FF00	2
HAT1570369.1	#00FF00	2
MBS5774565.1	#00FF00	2
MBM6607773.1	#00FF00	2
WP_105275442.1	#00FF00	2
EHE9875608.1	#00FF00	2
CAR10296.1	#00FF00	2
AAC69661.1	#00FF00	2
BAI33254.1	#00FF00	2
WP_203359581.1	#00FF00	2
WP_212478167.1	#00FF00	2
WP_002436710.1	#00FF00	2
WP_165463285.1	#00FF00	2
CAD7562982.1	#00FF00	2
WP_200046859.1	#00FF00	2
EJF31202.1	#00FF00	2
AJZ87583.1	#00FF00	2
WP_166879342.1	#00FF00	2
WP_172568664.1	#00FF00	2
WP_216375881.1	#00FF00	2
WP_108476523.1	#00FF00	2
AGB76182.1	#00FF00	2
WP_202305804.1	#00FF00	2
WP_012908137.1	#00FF00	2
MCR6674979.1	#00FF00	2
WP_138158988.1	#00FF00	2
WP_059239873.1	#00FF00	2
WP_248909239.1	#00FF00	2
WP_050486503.1	#00FF00	2
AAC69648.1	#00FF00	2
WP_000954414.1	#00FF00	2
WP_138183270.1	#00FF00	2
EFH7841643.1	#00FF00	2
WP_180562886.1	#00FF00	2
QVB72248.1	#00FF00	2
ECG8591176.1	#00FF00	2
WP_139821370.1	#00FF00	2
WP_079793912.1	#00FF00	2
EDT6509338.1	#00FF00	2
AAS22256.1	#00FF00	2
EAQ2105905.1	#00FF00	2
ECF6028171.1	#00FF00	2
AAS22257.1	#00FF00	2
WP_079796002.1	#00FF00	2
EBP4523177.1	#00FF00	2
ACF62503.1	#00FF00	2
AAO71288.1	#00FF00	2
ACF92659.1	#00FF00	2
AAA27206.1	#00FF00	2
NP_462613.1	#00FF00	2
AAL22572.1	#00FF00	2
ACF69468.1	#00FF00	2
WP_111258953.1	#00FF00	2
CAR61594.1	#00FF00	2
AAV79366.1	#00FF00	2
CAR39498.1	#00FF00	2
ACH77456.1	#00FF00	2
WP_064515016.1	#00FF00	2
WP_110027381.1	#00FF00	2
WP_079517223.1	#00FF00	2
AGN86292.1	#00FF00	2
WP_193821406.1	#00FF00	2
NHB96415.1	#00FF00	2
EQC00723.1	#00FF00	2
MCC8420804.1	#00FF00	2
NHB87622.1	#00FF00	2
TDB60683.1	#00FF00	2
WP_070974916.1	#00FF00	2
WP_236637354.1	#00FF00	2
NHB91991.1	#00FF00	2
CAQ86451.1	#00FF00	2
OCA56575.1	#00FF00	2
RAW68382.1	#00FF00	2
MCA6222198.1	#00FF00	2
WP_082300982.1	#00FF00	2
OWO83372.1	#00FF00	2
PHM43103.1	#00FF00	2
WP_051502320.1	#00FF00	2
WP_052189584.1	#00FF00	2
QTL39827.1	#00FF00	2
WP_092512052.1	#00FF00	2
WP_047963159.1	#00FF00	2
WP_187653922.1	#00FF00	2
WP_012990589.1	#00FF00	2
WP_038219686.1	#00FF00	2
WP_069317414.1	#00FF00	2
WP_198688853.1	#00FF00	2
WP_086113320.1	#00FF00	2
WP_074019041.1	#00FF00	2
WP_086109949.1	#00FF00	2
WP_045967857.1	#00FF00	2
HAU5008481.1	#00FF00	2
WP_087803796.1	#00FF00	2
WP_109391527.1	#00FF00	2
WP_088494124.1	#00FF00	2
WP_196727584.1	#00FF00	2
WP_066749675.1	#00FF00	2
WP_198620310.1	#00FF00	2
WP_103005211.1	#00FF00	2
WP_156732945.1	#00FF00	2
WP_198631817.1	#00FF00	2
WP_164525811.1	#00FF00	2
WP_196715123.1	#00FF00	2
WP_194951549.1	#00FF00	2
WP_247850468.1	#00FF00	2
MBG3020175.1	#00FF00	2
MBG2991316.1	#00FF00	2
WP_036971870.1	#00FF00	2
WP_060555069.1	#00FF00	2
MBG2882956.1	#00FF00	2
WP_163891937.1	#00FF00	2
WP_240091607.1	#00FF00	2
MBG2871695.1	#00FF00	2
WP_196572871.1	#00FF00	2
WP_149127259.1	#00FF00	2
MBI6307870.1	#00FF00	2
CAR46213.1	#00FF00	2
WP_212552225.1	#00FF00	2
WP_099659503.1	#00FF00	2
WP_098941488.1	#00FF00	2
WP_210813268.1	#00FF00	2
WP_109402146.1	#00FF00	2
WP_123822469.1	#00FF00	2
WP_198626403.1	#00FF00	2
WP_109394413.1	#00FF00	2
WP_109373379.1	#00FF00	2
WP_109406977.1	#00FF00	2
WP_252956912.1	#00FF00	2
MBS6208764.1	#00FF00	2
OAT50284.1	#00FF00	2
WP_193016671.1	#00FF00	2
WP_197269708.1	#00FF00	2
WP_072070459.1	#00FF00	2
WP_165121969.1	#00FF00	2
MBG3081424.1	#00FF00	2
WP_198622600.1	#00FF00	2
WP_166539297.1	#00FF00	2
WP_161680990.1	#00FF00	2
WP_161749722.1	#00FF00	2
WP_196566855.1	#00FF00	2
WP_023583388.1	#00FF00	2
WP_109409855.1	#00FF00	2
WP_227336238.1	#00FF00	2
ODQ08280.1	#00FF00	2
WP_159363662.1	#00FF00	2
WP_109850251.1	#00FF00	2
WP_235365419.1	#00FF00	2
WP_252447210.1	#00FF00	2
WP_223672810.1	#00FF00	2
WP_159242253.1	#00FF00	2
WP_099073919.1	#00FF00	2
WP_109398504.1	#00FF00	2
WP_109848251.1	#00FF00	2
MBG2711337.1	#00FF00	2
WP_198630107.1	#00FF00	2
MBG6028481.1	#00FF00	2
MBG3130131.1	#00FF00	2
WP_100157766.1	#00FF00	2
WP_051150824.1	#00FFFF	3
WP_214095751.1	#00FFFF	3
WP_186725142.1	#00FFFF	3
EJC8075328.1	#00FFFF	3
WP_152696924.1	#00FFFF	3
WP_025244478.1	#00FFFF	3
OZI15461.1	#00FFFF	3
WP_074013328.1	#00FFFF	3
WP_011412009.1	#00FFFF	3
WP_064541788.1	#00FFFF	3
WP_049848694.1	#00FFFF	3
WP_159464771.1	#00FFFF	3
WP_138013383.1	#00FFFF	3
WP_063214980.1	#00FFFF	3
HAT7730321.1	#00FFFF	3
WP_214580240.1	#00FFFF	3
WP_045328578.1	#00FFFF	3
TKI04021.1	#00FFFF	3
WP_213992473.1	#00FFFF	3
WP_165934201.1	#00FFFF	3
WP_104958962.1	#00FFFF	3
WP_167373283.1	#00FFFF	3
WP_101506603.1	#00FFFF	3
MTD28881.1	#00FFFF	3
WP_017801560.1	#00FFFF	3
WP_070133626.1	#00FFFF	3
WP_230050194.1	#00FFFF	3
WP_123801014.1	#00FFFF	3
WP_033754352.1	#00FFFF	3
OQP34915.1	#00FFFF	3
WP_108570145.1	#00FFFF	3
WP_128599814.1	#00FFFF	3
WP_211727019.1	#00FFFF	3
WP_160834187.1	#00FFFF	3
WP_182056725.1	#00FFFF	3
WP_034823795.1	#00FFFF	3
MCA1179640.1	#00FFFF	3
WP_038668793.1	#00FFFF	3
WP_166506371.1	#00FFFF	3
WP_183172034.1	#00FFFF	3
MBL7636050.1	#00FFFF	3
WP_047372601.1	#00FFFF	3
WP_169038659.1	#00FFFF	3
AMO46557.1	#00FFFF	3
WP_007680853.1	#00FFFF	3
EGT5681897.1	#00FFFF	3
MBB1202247.1	#00FFFF	3
MBV8042387.1	#00FFFF	3
WP_063445638.1	#00FFFF	3
WP_192870690.1	#00FFFF	3
STW66999.1	#00FFFF	3
BAH65745.1	#00FFFF	3
HAT1621274.1	#00FFFF	3
WP_165905701.1	#00FFFF	3
WP_241722599.1	#00FFFF	3
WP_163529159.1	#00FFFF	3
WP_064380509.1	#00FFFF	3
WP_024359720.1	#00FFFF	3
MCI1680497.1	#00FFFF	3
WP_104923969.1	#00FFFF	3
WP_255562263.1	#00FFFF	3
WP_208950130.1	#00FFFF	3
WP_187488651.1	#00FFFF	3
WP_137764754.1	#00FFFF	3
WP_101835290.1	#00FFFF	3
WP_101825853.1	#00FFFF	3
WP_034888505.1	#00FFFF	3
WP_106382027.1	#00FFFF	3
WP_248946859.1	#00FFFF	3
ANS45409.1	#00FFFF	3
WP_164713362.1	#00FFFF	3
HBL7017029.1	#00FFFF	3
WP_061799607.1	#00FFFF	3
WP_048762399.1	#00FFFF	3
WP_073531660.1	#00FFFF	3
WP_240023801.1	#00FFFF	3
WP_211130271.1	#00FFFF	3
WP_230490754.1	#00FFFF	3
WP_202669784.1	#00FFFF	3
WP_048234417.1	#00FFFF	3
WP_130017205.1	#00FFFF	3
WP_060427345.1	#00FFFF	3
EKF63553.1	#00FFFF	3
WP_202291606.1	#00FFFF	3
WP_013813691.1	#00FFFF	3
WP_186427147.1	#00FFFF	3
WP_209635906.1	#00FFFF	3
MBI3311433.1	#00FFFF	3
WP_187961648.1	#00FFFF	3
NLU18624.1	#00FFFF	3
WP_135317196.1	#00FFFF	3
WP_243457949.1	#00FFFF	3
WP_085117534.1	#00FFFF	3
WP_153859783.1	#00FFFF	3
WP_115184320.1	#00FFFF	3
WP_017893370.1	#00FFFF	3
WP_174353737.1	#00FFFF	3
WP_205204535.1	#00FFFF	3
MBO4970428.1	#00FFFF	3
WP_129210657.1	#00FFFF	3
KTC64276.1	#00FFFF	3
WP_161800171.1	#00FFFF	3
WP_177101419.1	#00FFFF	3
WP_103498039.1	#00FFFF	3
WP_177102874.1	#00FFFF	3
WP_084614789.1	#00FFFF	3
CAD5203693.1	#00FFFF	3
WP_177090587.1	#00FFFF	3
WP_177144561.1	#00FFFF	3
WP_248803515.1	#00FFFF	3
MCL2523450.1	#00FFFF	3
WP_133590629.1	#00FFFF	3
WP_141019976.1	#00FFFF	3
WP_110522817.1	#00FFFF	3
WP_168941204.1	#00FFFF	3
WP_071870836.1	#00FFFF	3
WP_196448904.1	#00FFFF	3
WP_074676320.1	#00FFFF	3
WP_051563975.1	#00FFFF	3
WP_195881163.1	#00FFFF	3
WP_090430363.1	#00FFFF	3
WP_161489391.1	#00FFFF	3
HIQ44876.1	#00FFFF	3
WP_106733787.1	#00FFFF	3
OYT96967.1	#00FFFF	3
OCX11905.1	#00FFFF	3
SFI00331.1	#00FFFF	3
WP_147170675.1	#00FFFF	3
MBN8512759.1	#00FFFF	3
NMQ26948.1	#00FFFF	3
MQM29742.1	#00FFFF	3
WP_175474892.1	#00FFFF	3
WP_052178292.1	#00FFFF	3
WP_179545936.1	#00FFFF	3
RRV29000.1	#00FFFF	3
WP_179571395.1	#00FFFF	3
WP_165668734.1	#00FFFF	3
WP_172434817.1	#00FFFF	3
WP_160158618.1	#00FFFF	3
WP_080977937.1	#00FFFF	3
WP_170847696.1	#00FFFF	3
WP_036990832.1	#00FFFF	3
WP_236204330.1	#00FFFF	3
AYC34552.1	#00FFFF	3
SFT73315.1	#00FFFF	3
WP_238530397.1	#00FFFF	3
WP_256574118.1	#00FFFF	3
MBP8022143.1	#00FFFF	3
MCO6056429.1	#00FFFF	3
WP_003453112.1	#00FFFF	3
WP_242443175.1	#00FFFF	3
WP_075930610.1	#00FFFF	3
WP_235981267.1	#00FFFF	3
WP_252274977.1	#00FFFF	3
WP_256664963.1	#00FFFF	3
WP_075745158.1	#00FFFF	3
WP_021487839.1	#00FFFF	3
WP_069085953.1	#00FFFF	3
WP_171006446.1	#00FFFF	3
KFX71429.1	#00FFFF	3
WP_256674082.1	#00FFFF	3
WP_244527293.1	#00FFFF	3
WP_256203111.1	#00FFFF	3
MBB4821264.1	#00FFFF	3
WP_256660901.1	#00FFFF	3
WP_245586538.1	#00FFFF	3
WP_236033098.1	#00FFFF	3
QEY65265.1	#00FFFF	3
WP_244158261.1	#00FFFF	3
WP_242627617.1	#00FFFF	3
WP_236361815.1	#00FFFF	3
WP_231570159.1	#00FFFF	3
WP_244153405.1	#00FFFF	3
WP_256672249.1	#00FFFF	3
WP_233787606.1	#00FFFF	3
SHM31222.1	#00FFFF	3
WP_256662775.1	#00FFFF	3
WP_256562729.1	#00FFFF	3
WP_256574770.1	#00FFFF	3
WP_256592489.1	#00FFFF	3
WP_249909653.1	#00FFFF	3
MBL8493621.1	#00FFFF	3
WP_108972538.1	#00FFFF	3
MCK9261610.1	#00FFFF	3
WP_159099493.1	#00FFFF	3
TVT57768.1	#00FFFF	3
WP_192294436.1	#00FFFF	3
NMG77191.1	#00FFFF	3
WP_188864544.1	#00FFFF	3
QEU30227.1	#00FFFF	3
MBF0676476.1	#00FFFF	3
MBF6615313.1	#00FFFF	3
PKF72361.1	#00FFFF	3
WP_193772875.1	#00FFFF	3
WP_108094506.1	#00FFFF	3
WP_122453238.1	#00FFFF	3
WP_150643268.1	#00FFFF	3
WP_150802334.1	#00FFFF	3
MBP8185289.1	#00FFFF	3
OHC30455.1	#00FFFF	3
MBX9915113.1	#00FFFF	3
WP_173171291.1	#00FFFF	3
WP_104730129.1	#00FFFF	3
WP_179062470.1	#00FFFF	3
WP_245729621.1	#00FFFF	3
HBX57092.1	#00FFFF	3
WP_230623704.1	#00FFFF	3
WP_236614336.1	#00FFFF	3
WP_084797677.1	#00FFFF	3
MAX89458.1	#00FFFF	3
ANF24447.1	#00FFFF	3
WP_158157178.1	#00FFFF	3
WP_082936879.1	#00FFFF	3
OES60227.1	#00FFFF	3
AAG08384.1	#00FFFF	3
WP_149809877.1	#00FFFF	3
HBO4004800.1	#00FFFF	3
WP_181850683.1	#00FFFF	3
HBO3920011.1	#00FFFF	3
UTN86901.1	#00FFFF	3
KFB20605.1	#00FFFF	3
WP_213876510.1	#00FFFF	3
WP_052393365.1	#00FFFF	3
WP_090358525.1	#00FFFF	3
WP_201001865.1	#00FFFF	3
WP_122315963.1	#00FFFF	3
WP_200986621.1	#00FFFF	3
WP_117166844.1	#00FFFF	3
WP_221556867.1	#00FFFF	3
WP_221613383.1	#00FFFF	3
WP_221593947.1	#00FFFF	3
WP_221610728.1	#00FFFF	3
WP_167058475.1	#00FFFF	3
WP_090344026.1	#00FFFF	3
WP_046786630.1	#00FFFF	3
BDM24234.1	#00FFFF	3
WP_033691015.1	#00FFFF	3
WP_196184005.1	#00FFFF	3
WP_024086487.1	#00FFFF	3
WP_051101358.1	#00FFFF	3
WP_136474193.1	#00FFFF	3
WP_107022828.1	#00FFFF	3
WP_157191862.1	#00FFFF	3
WP_051939223.1	#00FFFF	3
WP_101196459.1	#00FFFF	3
WP_253152371.1	#00FFFF	3
WP_050439914.1	#00FFFF	3
MPT00074.1	#00FFFF	3
WP_251961927.1	#00FFFF	3
WP_196914224.1	#00FFFF	3
WP_237860991.1	#00FFFF	3
WP_094500681.1	#FFFF00	4
MBY4895635.1	#FFFF00	4
WP_184101603.1	#FFFF00	4
WP_229678828.1	#FFFF00	4
GGP22956.1	#FFFF00	4
WP_045787316.1	#FFFF00	4
WP_224041973.1	#FFFF00	4
KJK23116.1	#FFFF00	4
WP_183035564.1	#FFFF00	4
WP_006158381.1	#FFFF00	4
WP_020201019.1	#FFFF00	4
WP_174423142.1	#FFFF00	4
WP_059410810.1	#FFFF00	4
WP_043421041.1	#FFFF00	4
WP_170301879.1	#FFFF00	4
WP_150372615.1	#FFFF00	4
WP_115953696.1	#FFFF00	4
WP_137925110.1	#FFFF00	4
WP_223984937.1	#FFFF00	4
WP_253700010.1	#FFFF00	4
WP_144198012.1	#FFFF00	4
WP_081092599.1	#FFFF00	4
PLQ01563.1	#FFFF00	4
WP_092290579.1	#FFFF00	4
WP_255371088.1	#FFFF00	4
WP_186424865.1	#FFFF00	4
WP_035880173.1	#FFFF00	4
WP_011517284.1	#FFFF00	4
WP_024569966.1	#FFFF00	4
WP_008642218.1	#FFFF00	4
MBV8270929.1	#FFFF00	4
WP_051705558.1	#FFFF00	4
WP_130389408.1	#FFFF00	4
MCA3192823.1	#FFFF00	4
WP_153950288.1	#FFFF00	4
WP_227459053.1	#FFFF00	4
WP_250024725.1	#FFFF00	4
WP_061952586.1	#FFFF00	4
WP_231906794.1	#FFFF00	4
WP_092601554.1	#FFFF00	4
MBN8744569.1	#FFFF00	4
WP_063237102.1	#FFFF00	4
WP_144835205.1	#FFFF00	4
WP_195428266.1	#FFFF00	4
AGW89223.1	#FFFF00	4
KAB0598599.1	#FFFF00	4
WP_174107465.1	#FFFF00	4
KAG0186325.1	#FFFF00	4
SIT72278.1	#FFFF00	4
CBW75858.1	#FFFF00	4
CBK52850.1	#FFFF00	4
WP_216796492.1	#FFFF00	4
WP_225721231.1	#FFFF00	4
WP_226806339.1	#FFFF00	4
WP_235090970.1	#FFFF00	4
WP_237576636.1	#FFFF00	4
WP_115535916.1	#FFFF00	4
TDY42312.1	#FFFF00	4
WP_250499850.1	#FFFF00	4
PCE32098.1	#FFFF00	4
RKP44945.1	#FFFF00	4
WP_082251814.1	#FFFF00	4
MBS6361135.1	#FFFF00	4
WP_160925899.1	#FFFF00	4
WP_175951093.1	#FFFF00	4
WP_096719907.1	#FFFF00	4
CAG4888697.1	#FFFF00	4
WP_228981897.1	#FFFF00	4
KDR40721.1	#FFFF00	4
SAL74125.1	#FFFF00	4
SAL50047.1	#FFFF00	4
WP_244848296.1	#FFFF00	4
KMZ11222.1	#FFFF00	4
WP_250492105.1	#FFFF00	4
KMY86108.1	#FFFF00	4
KND59772.1	#FFFF00	4
CCD38626.1	#FFFF00	4
WP_016344840.1	#FFFF00	4
KND55142.1	#FFFF00	4
BBU27098.1	#FFFF00	4
WP_250501859.1	#FFFF00	4
WP_250512602.1	#FFFF00	4
WP_250476494.1	#FFFF00	4
WP_175104873.1	#FFFF00	4
BAP89227.1	#FFFF00	4
WP_124150102.1	#FFFF00	4
WP_233862731.1	#FFFF00	4
WP_205994114.1	#FFFF00	4
WP_134749608.1	#FFFF00	4
WP_238465647.1	#FFFF00	4
WP_035527205.1	#FFFF00	4
WP_205986169.1	#FFFF00	4
WP_103701492.1	#FFFF00	4
WP_042298103.1	#FFFF00	4
WP_199122183.1	#FFFF00	4
WP_167069732.1	#FFFF00	4
WP_102131559.1	#FFFF00	4
WP_183726260.1	#FFFF00	4
WP_167056721.1	#FFFF00	4
WP_028226678.1	#FFFF00	4
WP_246282160.1	#FFFF00	4
WP_133199931.1	#FFFF00	4
WP_224013134.1	#FFFF00	4
WP_129561351.1	#FFFF00	4
MCI0151931.1	#FFFF00	4
WP_158757350.1	#FFFF00	4
WP_018423838.1	#FFFF00	4
WP_090545635.1	#FFFF00	4
WP_114813588.1	#FFFF00	4
WP_153077152.1	#FFFF00	4
WP_153102187.1	#FFFF00	4
WP_144145450.1	#FFFF00	4
SIO21866.1	#FFFF00	4
WP_175149585.1	#FFFF00	4
WP_233829035.1	#FFFF00	4
WP_205989185.1	#FFFF00	4
WP_169499288.1	#FFFF00	4
WP_230559886.1	#FFFF00	4
WP_062126520.1	#FFFF00	4
WP_027197136.1	#FFFF00	4
WP_233800401.1	#FFFF00	4
WP_129959546.1	#FFFF00	4
EEA02020.1	#FFFF00	4
WP_184139211.1	#FFFF00	4
WP_187635050.1	#FFFF00	4
WP_018419914.1	#FFFF00	4
WP_090803677.1	#FFFF00	4
WP_094780020.1	#FFFF00	4
WP_085484536.1	#FFFF00	4
WP_149673785.1	#FFFF00	4
WP_168661067.1	#FFFF00	4
WP_175150495.1	#FFFF00	4
WP_042327561.1	#FFFF00	4
CAH2791898.1	#FFFF00	4
WP_244201328.1	#FFFF00	4
WP_220364672.1	#FFFF00	4
WP_013587675.1	#FFFF00	4
WP_064272179.1	#FFFF00	4
WP_144108378.1	#FFFF00	4
WP_201075043.1	#FFFF00	4
WP_211609697.1	#FFFF00	4
WP_115782257.1	#FFFF00	4
WP_074284974.1	#FFFF00	4
WP_169486688.1	#FFFF00	4
WP_172168652.1	#FFFF00	4
WP_256350094.1	#FFFF00	4
WP_201279501.1	#FFFF00	4
HBC9088725.1	#FFFF00	4
WP_233599456.1	#FFFF00	4
WP_181596104.1	#FFFF00	4
WP_200011241.1	#FFFF00	4
WP_227409377.1	#FFFF00	4
WP_200008848.1	#FFFF00	4
MBJ3593278.1	#FFFF00	4
WP_224776498.1	#FFFF00	4
WP_181825898.1	#FFFF00	4
WP_207949457.1	#FFFF00	4
WP_170972973.1	#FFFF00	4
WP_181540245.1	#FFFF00	4
WP_196209579.1	#FFFF00	4
WP_213134313.1	#FFFF00	4
WP_205746872.1	#FFFF00	4
WP_253902144.1	#FFFF00	4
QYO51379.1	#FFFF00	4
WP_199142441.1	#FFFF00	4
WP_187253870.1	#FFFF00	4
WP_198803021.1	#FFFF00	4
WP_233610767.1	#FFFF00	4
EFE06294.1	#FFFF00	4
WP_172626116.1	#FFFF00	4
WP_114140319.1	#FFFF00	4
WP_110496510.1	#FFFF00	4
WP_137365858.1	#FFFF00	4
WP_220393477.1	#FFFF00	4
EGT0662844.1	#FFFF00	4
WP_137397414.1	#FFFF00	4
WP_202561460.1	#FFFF00	4
WP_130593299.1	#FFFF00	4
WP_230609598.1	#FFFF00	4
NWA45604.1	#FFFF00	4
WP_034794536.1	#FFFF00	4
WP_140474765.1	#FFFF00	4
WP_229746481.1	#FFFF00	4
GBU12017.1	#FFFF00	4
WP_065648423.1	#FFFF00	4
WP_150018399.1	#FFFF00	4
WP_099706354.1	#FFFF00	4
WP_078004154.1	#FFFF00	4
WP_092879148.1	#FFFF00	4
WP_120458086.1	#FFFF00	4
WP_096072333.1	#FFFF00	4
WP_103797294.1	#FFFF00	4
WP_172896820.1	#FFFF00	4
WP_058706087.1	#FFFF00	4
WP_029570791.1	#FFFF00	4
KKW51516.1	#FFFF00	4
WP_058709097.1	#FFFF00	4
WP_205955837.1	#FFFF00	4
MBK0004009.1	#FFFF00	4
PRD13735.1	#FFFF00	4
MBN1083937.1	#FFFF00	4
WP_118665076.1	#FFFF00	4
WP_012439853.1	#FFFF00	4
WP_023653322.1	#FFFF00	4
WP_012666479.1	#FFFF00	4
CBA19033.1	#FFFF00	4
WP_099319553.1	#FFFF00	4
WP_004956680.1	#FFFF00	4
WP_061321849.1	#FFFF00	4
VEA70849.1	#FFFF00	4
HAT4919584.1	#FFFF00	4
MBI3311318.1	#FFFF00	4
WP_241921518.1	#FFFF00	4
AVJ19836.1	#FFFF00	4
WP_037384823.1	#FFFF00	4
WP_156293238.1	#FFFF00	4
WP_015379431.1	#FFFF00	4
WP_198793401.1	#FFFF00	4
MBN5408642.1	#FFFF00	4
WP_230489727.1	#FFFF00	4
WP_073533448.1	#FFFF00	4
WP_049240836.1	#FFFF00	4
USQ49543.1	#FFFF00	4
MBH2566850.1	#FFFF00	4
WP_122016976.1	#FFFF00	4
WP_065683746.1	#FFFF00	4
WP_025121344.1	#FFFF00	4
WP_115060824.1	#FFFF00	4
WP_153858493.1	#FFFF00	4
WP_073441063.1	#FFFF00	4
WP_176980434.1	#FFFF00	4
