acc	evalue	score
ASN04229.1	5.4e-66	235.9
ALI10992.1	1.6e-65	234.4
AJQ48567.1	1.7e-65	234.3
CAD0220892.1	2e-65	234.1
QDZ00203.1	4e-65	233.1
QCH03301.1	1.9e-64	230.8
AOS81341.1	3.3e-64	230.0
QSR74219.1	2.1e-63	227.4
QCH03264.1	5.8e-63	225.9
AWI06859.1	2.6e-61	220.5
QAU87008.1	2.1e-60	217.5
AKA71909.1	3.7e-60	216.7
QDP41457.1	4.4e-59	213.2
UHG99700.1	8.9e-59	212.2
ABM38419.1	3.1e-58	210.4
SDV10634.1	5.4e-58	209.6
QVN03237.1	5.4e-58	209.6
QPQ54428.1	1.8e-57	207.8
ARD65233.1	2.1e-56	204.3
UQZ20736.1	2.1e-56	204.3
QUL53902.1	2.6e-56	204.0
AOG12693.1	4.8e-54	196.6
QGG93516.1	4.8e-54	196.6
UOO90585.1	2e-53	194.5
ASI36431.1	5e-53	193.2
QIL42838.1	1.1e-48	178.9
CAQ86404.1	2.3e-48	177.8
CAR67185.1	2.3e-48	177.8
AWK44299.1	9.8e-48	175.8
AXG45030.1	1.7e-47	175.0
AXG49614.1	1.7e-47	175.0
CAE17174.1	1.7e-47	175.0
UCJ15188.1	1.7e-47	175.0
AGA72301.1	7.9e-47	172.8
UJD77847.1	2.5e-46	171.1
AKH63212.1	1.4e-45	168.7
SHH70648.1	9.3e-45	166.0
QNM91526.1	2e-42	158.3
QWG17067.1	6.8e-41	153.2
UPJ51951.1	1.6e-40	152.0
ALC88207.1	3.8e-40	150.8
QQO31228.1	2.7e-39	147.9
QGU94994.1	2.9e-39	147.9
QWG25040.1	3.7e-39	147.5
QHO78263.1	4.1e-39	147.4
QAU39656.1	4e-38	144.1
QOZ60720.1	4e-38	144.1
QOZ70635.1	1.8e-37	141.9
QAU38605.1	2.1e-37	141.7
QOZ59664.1	2.1e-37	141.7
ACN99521.1	2.1e-37	141.7
QOZ18834.1	6.6e-37	140.1
BBO11194.1	1.3e-36	139.1
SDR81206.1	2.6e-36	138.1
BBB98592.1	2.7e-36	138.1
QOZ27258.1	3e-36	137.9
UQD84228.1	3.5e-36	137.7
UPJ44571.1	3.9e-36	137.6
AWL94914.1	7.9e-36	136.5
UPK08302.1	1e-35	136.2
QIP08617.1	1.9e-35	135.3
AWM02437.1	2.1e-35	135.2
SDN36281.1	2.6e-35	134.8
AWM08732.1	6.2e-35	133.6
QDF39306.1	6.2e-35	133.6
SHH71688.1	1.1e-34	132.7
QPF88248.1	1.1e-34	132.7
SHH99366.1	1.4e-34	132.4
UPJ56615.1	2.8e-34	131.4
AUC98319.1	7e-34	130.1
SHH71310.1	9.5e-34	129.7
UFS88219.1	2.2e-33	128.5
AMA59311.1	2.5e-33	128.3
AOB24884.1	2.6e-33	128.2
SHK76760.1	3.5e-33	127.8
QWG17066.1	4.2e-33	127.6
QBZ83715.1	4.9e-33	127.3
UGY16061.1	9.1e-33	126.5
UGY24634.1	9.1e-33	126.5
QQO17106.1	1.4e-32	125.9
QQN62744.1	1.5e-32	125.7
UPT96082.1	1.7e-32	125.6
QIG93392.1	1.8e-32	125.5
QAU45937.1	2.1e-32	125.3
UPK25104.1	2.8e-32	124.8
SHL50757.1	3.9e-32	124.4
QIO32741.1	4.6e-32	124.1
QNI90827.1	5.8e-32	123.8
AZW42117.1	6e-32	123.8
SHL50715.1	6.3e-32	123.7
UGY04439.1	8.7e-32	123.2
QAU42687.1	9.3e-32	123.1
QOZ63739.1	9.3e-32	123.1
AGI26518.1	1.6e-31	122.3
QOG17174.1	1.7e-31	122.3
UGA48280.1	2.5e-31	121.7
BAL75479.1	2.6e-31	121.7
QDP21094.1	2.9e-31	121.5
UFX42003.1	3.5e-31	121.2
UPJ29871.1	4.2e-31	121.0
UPJ82777.1	4.2e-31	121.0
UPJ90569.1	4.2e-31	121.0
AUC97347.1	5.7e-31	120.5
QOZ34153.1	1.1e-30	119.6
UPJ70900.1	1.2e-30	119.5
AJA62007.1	1.5e-30	119.2
BAL08970.1	1.5e-30	119.2
BBB99918.1	1.7e-30	119.0
QOZ17768.1	1.7e-30	119.0
UQD85245.1	1.7e-30	119.0
QOZ33073.1	1.7e-30	119.0
UGY03425.1	1.7e-30	119.0
APG10458.1	1.7e-30	118.9
UFW84460.1	1.9e-30	118.8
BCE23816.1	2e-30	118.7
BCE50075.1	2e-30	118.7
BCE93584.1	2e-30	118.7
BCF28520.1	2e-30	118.7
UPT93802.1	2.4e-30	118.4
QHO78265.1	3.4e-30	118.0
UGA47278.1	3.9e-30	117.8
AHY53041.1	5.7e-30	117.2
AND91142.1	5.9e-30	117.2
BAC51270.1	5.9e-30	117.2
BCE76170.1	5.9e-30	117.2
BCF37268.1	5.9e-30	117.2
BCF45949.1	5.9e-30	117.2
BCF72101.1	5.9e-30	117.2
QBP24768.1	5.9e-30	117.2
QLD42260.1	5.9e-30	117.2
QPF93869.1	9.4e-30	116.5
AHY53103.1	1.2e-29	116.2
APG12208.1	1.2e-29	116.1
QIG92365.1	1.7e-29	115.7
AZW42118.1	1.8e-29	115.6
CUU16914.1	2.2e-29	115.3
UPJ29875.1	2.6e-29	115.1
UPJ82781.1	2.6e-29	115.1
UPJ90573.1	2.6e-29	115.1
CUU16851.1	3e-29	114.9
UEM10082.1	3e-29	114.9
UPT90307.1	3e-29	114.9
UPT99148.1	3e-29	114.9
QQO36578.1	3.1e-29	114.8
UEM10025.1	6.6e-29	113.7
APG10524.1	6.9e-29	113.7
UPJ51952.1	9.9e-29	113.1
UPK13850.1	1.2e-28	112.9
UPK17235.1	1.2e-28	112.9
UFW74707.1	1.9e-28	112.2
UGY14811.1	2.2e-28	112.0
UGY23382.1	2.2e-28	112.0
UQD96781.1	5.6e-28	110.7
QOZ78422.1	1.2e-27	109.6
QPF82081.1	1.2e-27	109.6
AZP73111.1	6.3e-27	107.2
QOZ25761.1	1.1e-26	106.3
QAU45938.1	2.7e-26	105.1
QAU87007.1	9.5e-26	103.3
AOB24883.1	1.6e-25	102.6
UQD70206.1	7.9e-25	100.3
BAL75480.1	1.2e-24	99.7
BBO11195.1	1.3e-24	99.6
QFI75619.1	3e-24	98.4
QDP21093.1	4.1e-23	94.6
BAU36803.1	7.7e-23	93.7
QFI75617.1	1.5e-22	92.8
QIX81848.1	7.4e-22	90.5
QQQ72902.1	7.4e-22	90.5
ASE62441.2	1.1e-21	90.0
ATN06275.1	1.1e-21	90.0
AYZ34634.1	1.1e-21	90.0
AZB18155.1	1.1e-21	90.0
UDQ55619.1	1.1e-21	90.0
VFA41958.1	1.1e-21	90.0
BCN23018.1	2.8e-20	85.3
AYY84963.1	1e-19	83.5
ACU62193.1	2.2e-16	72.5
QGU94995.1	5.5e-15	67.9
UJW76421.1	1.2e-14	66.8
QEZ90032.1	2.2e-14	65.9
ASS47523.1	4.6e-14	64.8
BAU36804.1	1e-13	63.7
BAU36805.1	1e-13	63.7
BAU36806.1	1e-13	63.7
AMS26767.1	4.2e-12	58.3
ASC70813.1	9.8e-12	57.1
QJB69742.1	1.3e-11	56.8
UBS33177.1	2.9e-11	55.6
QOS18203.1	6.4e-11	54.5
QOS24856.1	6.4e-11	54.5
QBF27919.1	3.7e-10	52.0
QAY92445.1	8.1e-10	50.8
AEA67761.1	2e-09	49.5
QEO77604.1	2e-09	49.5
SDP00213.1	2e-09	49.5
QIT55913.1	4.5e-09	48.4
ANW00572.1	7e-09	47.8
AVG42326.1	9.6e-09	47.3
QBB05744.1	1.1e-08	47.0
QYD25382.1	1.1e-08	47.0
UBM19541.1	1.1e-08	47.0
AXL96380.1	1.3e-08	46.8
AVF94039.1	1.4e-08	46.8
UOY69281.1	1.7e-08	46.4
UGX96559.1	2.2e-08	46.1
AXQ49187.1	2.4e-08	46.0
ANA34120.1	2.8e-08	45.8
VEH56721.1	5e-08	44.9
UQD84216.1	1.2e-07	43.6
QKK32080.1	2.1e-07	42.9
UGS91660.1	2.4e-07	42.7
ARQ56973.1	2.7e-07	42.5
CAK06312.1	4e-07	41.9
AZR92424.1	6.3e-07	41.3
QIM70993.1	6.3e-07	41.3
SAI68580.1	6.3e-07	41.3
ASR07805.1	1e-06	40.6
UFW78759.1	1e-06	40.6
QSB44730.1	2.5e-06	39.3
ACJ05184.1	2.7e-06	39.2
AKZ64135.1	3e-06	39.1
ANM09291.1	3.3e-06	38.9
AJC78031.1	3.4e-06	38.9
QEH83761.1	3.5e-06	38.9
QKD65980.1	3.5e-06	38.8
ARM11086.1	3.7e-06	38.8
QEY37864.1	4.3e-06	38.5
QEY43355.1	4.3e-06	38.5
QEY47044.1	4.3e-06	38.5
QGL28234.1	4.3e-06	38.5
QIP96163.1	4.3e-06	38.5
QIZ54934.1	4.3e-06	38.5
ATB14031.1	4.6e-06	38.5
CZQ24669.1	5.2e-06	38.3
ANM15762.1	7.5e-06	37.8
ANM22150.1	7.5e-06	37.8
SOE50591.1	1.4e-05	36.9
AJG35829.1	1.5e-05	36.8
AJR19356.1	1.5e-05	36.8
BAQ00569.1	1.5e-05	36.8
QAZ71546.1	1.5e-05	36.8
QJB51932.1	1.5e-05	36.8
VEB69389.1	1.7e-05	36.6
AZL72930.1	2e-05	36.3
AUM04366.1	3.6e-05	35.5
BBJ59421.1	3.6e-05	35.5
AKJ43906.1	9.7e-05	34.1
ASC64861.1	0.00012	33.8
QUT57269.1	0.00013	33.7
BAT24087.1	0.00013	33.7
AJR26934.1	0.00014	33.6
AQY49760.1	0.00035	32.3
UJB67906.1	0.00035	32.3
SDT90851.1	0.00041	32.0
BCN17458.1	0.00052	31.7
ABW28604.1	0.00082	31.0
SCG62997.1	0.00088	30.9
QGN38815.1	0.00098	30.8
ASY28296.1	0.0011	30.6
QIB31957.1	0.0012	30.6
QGG14112.1	0.0021	29.7
ALM49901.1	0.0025	29.4
AOE53518.1	0.0025	29.4
ABC78479.1	0.003	29.2
QRO26321.1	0.0034	29.0
SHL52870.1	0.0036	28.9
UPT90322.1	0.0037	28.9
ARN70865.1	0.0049	28.5
APG10483.1	0.0057	28.3
CUU16855.1	0.0058	28.2
QWW70882.1	0.0065	28.1
AYM78147.1	0.007	28.0
QOU75506.1	0.007	28.0
AXL96485.1	0.0073	27.9
AHY53097.1	0.0079	27.8
BCN16971.1	0.008	27.8
UPK38613.1	0.0085	27.7
UHZ86674.1	0.01	27.4
BCZ49019.1	0.017	26.7
QIJ52496.1	0.017	26.7
QIM53983.1	0.019	26.5
UNG06655.1	0.02	26.4
UOY49851.1	0.02	26.4
UOY62922.1	0.02	26.4
AMY65426.1	0.022	26.3
AVG37275.1	0.022	26.3
QCQ39165.1	0.027	26.0
QOZ44038.1	0.028	26.0
QMT58809.1	0.03	25.9
QBS12284.1	0.03	25.9
QUY43025.1	0.035	25.7
QHM53362.1	0.036	25.6
AIR62965.1	0.044	25.3
AWQ83342.1	0.05	25.2
ALL06731.1	0.054	25.0
UPT99161.1	0.056	25.0
QHR93266.1	0.066	24.8
AZJ35033.1	0.071	24.7
AIK86071.1	0.074	24.6
AIK88854.1	0.074	24.6
QEH97431.1	0.075	24.6
AFW02053.1	0.075	24.6
ANQ42381.1	0.075	24.6
UOU96710.1	0.075	24.6
SNV30113.1	0.081	24.5
QRM69784.1	0.088	24.4
QTO27318.1	0.088	24.4
QZZ20231.1	0.09	24.3
AUD23411.1	0.091	24.3
QGT75191.1	0.1	24.2
UPO79079.1	0.1	24.2
QQR09480.1	0.1	24.2
UMM08544.1	0.1	24.2
AAK80465.1	0.11	24.1
ADZ21562.1	0.11	24.1
AEI32400.1	0.11	24.1
AWV79118.1	0.11	24.1
BAK66263.1	0.12	23.9
AVL19481.1	0.12	23.9
BDH60665.1	0.12	23.9
QIT54421.1	0.13	23.8
ASK78108.1	0.13	23.8
QCO84789.1	0.13	23.8
ALD66509.1	0.14	23.7
QHJ70734.1	0.14	23.7
AIG62435.1	0.16	23.5
QPQ31585.1	0.16	23.5
BBW97663.1	0.17	23.4
ALS98653.1	0.17	23.4
ALR93061.1	0.17	23.4
QCO12733.1	0.18	23.3
QEL93770.1	0.18	23.3
QEM00194.1	0.18	23.3
QCI79227.1	0.18	23.3
QGN65419.1	0.19	23.2
BAT08309.1	0.2	23.1
AZB44665.1	0.21	23.1
AIF45571.1	0.23	23.0
QCQ33656.1	0.24	22.9
UHZ82319.1	0.24	22.9
QOK25811.1	0.25	22.8
QPC46033.1	0.25	22.8
QPR26671.1	0.26	22.8
UQT35650.1	0.26	22.8
QFC18178.1	0.29	22.6
ATG48145.1	0.3	22.6
AJH19452.1	0.3	22.6
QQA15829.1	0.31	22.6
QWG41807.1	0.31	22.6
QWI40572.1	0.31	22.6
UNP81509.1	0.31	22.6
ANU63182.1	0.31	22.5
ASB38739.1	0.31	22.5
QRC95115.1	0.32	22.5
AIF26425.1	0.33	22.4
QKH86602.1	0.35	22.4
QVM97073.1	0.35	22.4
ACX75819.1	0.36	22.3
ADL25673.1	0.36	22.3
QDH16156.1	0.37	22.3
CCO05849.1	0.38	22.3
APX93257.1	0.38	22.3
QGN65327.1	0.41	22.1
QGN65319.1	0.41	22.1
AWV96847.1	0.43	22.1
QGN65428.1	0.44	22.1
QCQ47333.1	0.44	22.1
QLK84814.1	0.44	22.1
QPG64184.1	0.46	22.0
ADC47996.1	0.47	21.9
QNM07002.1	0.49	21.9
UKM65592.1	0.49	21.9
ABQ27345.1	0.5	21.9
ANM85749.1	0.52	21.8
QAZ84691.1	0.52	21.8
ASE37415.1	0.53	21.8
QCP47292.1	0.56	21.7
QAZ79850.1	0.57	21.7
QOS16191.1	0.58	21.6
QNM93553.1	0.6	21.6
QTA07088.1	0.6	21.6
QES87697.1	0.64	21.5
AIB15822.1	0.65	21.5
QED49625.1	0.66	21.5
QWE12828.1	0.68	21.4
QCP40727.1	0.72	21.3
QKK76666.1	0.72	21.3
CUA19925.1	0.73	21.3
QCO19671.1	0.75	21.3
ADY34002.1	0.77	21.2
SNV43215.1	0.77	21.2
AZC13478.1	0.77	21.2
QGN65386.1	0.79	21.2
AGH43650.1	0.79	21.2
AWJ88144.1	0.81	21.2
ADU95635.1	0.83	21.1
ALA70097.1	0.83	21.1
QCP27076.1	0.84	21.1
QCR88190.1	0.84	21.1
QJG70636.1	0.84	21.1
AOV07904.1	0.87	21.1
ALP51055.1	0.87	21.1
ANU34581.1	0.87	21.1
APT08333.1	0.87	21.1
BCB33231.1	0.87	21.1
AKA67159.1	0.9	21.0
UPJ26025.1	0.95	20.9
UPJ94589.1	0.95	20.9
VAI32418.1	0.99	20.9
AZL65467.1	1.0	20.9
AGT06375.1	1.0	20.9
ARV66131.1	1.0	20.9
ASW14974.1	1.0	20.9
AUI02053.1	1.0	20.9
AUI02868.1	1.0	20.9
BAC00052.1	1.0	20.9
CAF20682.1	1.0	20.9
CCH25788.1	1.0	20.9
QYO74617.1	1.0	20.9
AAW59825.1	1.0	20.8
AHK69963.1	1.0	20.8
QQX91109.1	1.0	20.8
ABP61314.1	1.0	20.8
BCP54705.1	1.1	20.8
UAL52080.1	1.1	20.8
ATA83728.1	1.1	20.7
AGY39921.1	1.1	20.7
QCO47730.1	1.1	20.7
ALV42275.1	1.2	20.6
QDG68177.1	1.2	20.6
UMZ14614.1	1.2	20.6
QDZ63448.1	1.2	20.6
ADB40907.1	1.2	20.6
QBK17722.1	1.2	20.6
QCO06418.1	1.2	20.6
AVL01003.1	1.2	20.6
UJD96870.1	1.3	20.5
QGN65345.1	1.3	20.5
UPA31294.1	1.3	20.5
QRP90439.1	1.3	20.4
AGR42211.1	1.5	20.3
BCR85947.1	1.5	20.3
AXF25384.1	1.5	20.3
UPJ33259.1	1.5	20.3
ARR36758.1	1.5	20.3
QHQ86159.1	1.5	20.3
UIO97434.1	1.5	20.3
VEG75698.1	1.5	20.2
QAY32344.1	1.6	20.2
AQX83828.1	1.6	20.2
AUI37156.1	1.6	20.2
QQN57237.1	1.6	20.2
AWJ92897.1	1.7	20.2
CCD02539.1	1.7	20.2
AHW46178.1	1.7	20.1
ANG93403.1	1.7	20.1
ATQ66592.1	1.7	20.1
QQC36478.1	1.8	20.1
UIK47074.1	1.8	20.1
AES02930.1	1.8	20.1
QLK45131.1	1.8	20.1
AKT93223.1	1.8	20.0
ULX58018.1	1.8	20.0
UDG89820.1	1.8	20.0
CAX45158.1	1.8	20.0
AJW64962.1	1.8	20.0
ACJ49124.1	1.8	20.0
QDC02977.1	1.9	20.0
AGN20180.1	1.9	19.9
AGN23204.1	1.9	19.9
BAF55574.1	1.9	19.9
ATL43593.1	1.9	19.9
AMY23427.1	1.9	19.9
VEB33072.1	2.0	19.9
BDF57777.1	2.1	19.8
BDF60445.1	2.1	19.8
ADY32024.1	2.1	19.8
UKJ76721.1	2.1	19.8
UPT60660.1	2.1	19.8
VED93082.1	2.2	19.8
VTS90836.1	2.2	19.8
CAE6998628.1	2.2	19.8
ADI28097.1	2.2	19.8
QDQ21770.1	2.2	19.8
QDQ22809.1	2.2	19.8
AMV12307.1	2.2	19.7
AWO74699.1	2.2	19.7
ACV29119.1	2.2	19.7
QSB24061.1	2.2	19.7
AJH80326.1	2.3	19.7
QEF20412.1	2.3	19.7
AHW46170.1	2.3	19.7
APZ46904.1	2.4	19.6
AUC17547.1	2.4	19.6
AUC17144.1	2.4	19.6
ASJ15357.1	2.4	19.6
QGN65337.1	2.4	19.6
QFR49548.1	2.5	19.6
AXY99906.1	2.5	19.6
QOV84991.1	2.5	19.6
BAZ44830.1	2.5	19.5
QEM03214.1	2.5	19.5
QEM15833.1	2.5	19.5
QTE41429.1	2.5	19.5
QTE48032.1	2.5	19.5
QTE59426.1	2.5	19.5
QTE61115.1	2.5	19.5
QTF59875.1	2.5	19.5
ACN27546.1	2.6	19.5
AOT01903.1	2.6	19.5
AUN28967.1	2.6	19.5
AEV20831.1	2.6	19.5
QCK81100.1	2.6	19.5
QDY74669.1	2.6	19.5
QBF35130.1	2.6	19.5
BCN19969.1	2.7	19.5
QIH08482.1	2.7	19.5
QPO50414.1	2.7	19.5
CAE6931330.1	2.7	19.5
QCN99775.1	2.7	19.4
AJR02869.1	2.7	19.4
AIQ49000.1	2.8	19.4
AKF28433.1	2.9	19.4
ANE09268.1	2.9	19.4
AST21677.1	2.9	19.4
QJS16818.1	2.9	19.4
QXU45345.1	2.9	19.4
AZG16088.1	2.9	19.3
CAB1250015.1	3.0	19.3
AEO99596.1	3.0	19.3
AJO23799.1	3.0	19.3
AKN54711.1	3.0	19.3
APB35576.1	3.0	19.3
ATW83813.1	3.0	19.3
AVD55528.1	3.0	19.3
AWP36403.1	3.0	19.3
QAU25784.1	3.0	19.3
QDI61908.1	3.0	19.3
QPG54378.1	3.0	19.3
QYF71285.1	3.0	19.3
QHK20281.1	3.1	19.3
ASK30254.1	3.1	19.3
ANC78624.1	3.1	19.3
ATP56918.1	3.1	19.2
QIN77685.1	3.2	19.2
BAD77446.1	3.2	19.2
ANU13956.1	3.3	19.2
AKU26403.1	3.3	19.2
AVM55830.1	3.3	19.2
CED93488.1	3.3	19.2
AMJ52176.1	3.3	19.2
ADR20587.1	3.4	19.1
UAK25778.1	3.4	19.1
AEH52865.1	3.4	19.1
AVR02109.1	3.4	19.1
QOR84039.1	3.4	19.1
QJD78372.1	3.4	19.1
AHA29873.1	3.5	19.1
ANU20078.1	3.7	19.0
AMQ06571.1	3.7	19.0
QWU07282.1	3.7	19.0
CAH07757.1	3.8	19.0
QCT78572.1	3.8	19.0
QUU02726.1	3.8	19.0
AKA51776.1	3.8	19.0
USA57563.1	3.8	19.0
ALI99932.1	3.8	18.9
ABV11900.1	3.9	18.9
QNU20015.1	4.0	18.9
AMQ21751.1	4.0	18.9
QNU17133.1	4.0	18.9
QNU23350.1	4.0	18.9
UIJ30728.1	4.0	18.9
ULB08485.1	4.0	18.9
QGN65295.1	4.1	18.8
QWB28775.1	4.1	18.8
ADJ19217.1	4.2	18.8
QTD47826.1	4.2	18.8
AXQ92453.1	4.3	18.8
AXT80497.1	4.4	18.8
APX93815.1	4.4	18.7
AOM02092.1	4.5	18.7
URJ41455.1	4.5	18.7
ANR63530.1	4.6	18.7
ANR66536.1	4.6	18.7
QWQ85218.1	4.6	18.7
QGN65440.1	4.7	18.7
