acc	evalue	score
VDY77569.1	7.9e-217	732.7
VEC19704.1	7.9e-217	732.7
VED12539.1	7.9e-217	732.7
VWQ03430.1	7.9e-217	732.7
VZZ90493.1	7.9e-217	732.7
QFS69578.1	8e-217	732.7
QBM21160.1	9.5e-217	732.5
QCZ34226.1	1e-216	732.4
AMG92449.1	1e-216	732.4
UPJ19775.1	1.1e-216	732.3
AHG11497.1	1.1e-216	732.3
AHG17246.1	1.1e-216	732.3
AHY67569.1	1.1e-216	732.3
AHY73319.1	1.1e-216	732.3
AWN80314.1	1.1e-216	732.3
BBK49820.1	1.1e-216	732.3
BBK55074.1	1.1e-216	732.3
BBK60111.1	1.1e-216	732.3
QCH96581.1	1.1e-216	732.3
QML70030.1	1.1e-216	732.3
ASE43733.1	1.2e-216	732.2
AUV28636.1	1.2e-216	732.2
QGG12462.1	1.2e-216	732.2
QKE22817.1	1.2e-216	732.2
QLK40484.1	1.2e-216	732.2
QLO86751.1	1.2e-216	732.2
QLR16748.1	1.2e-216	732.2
QLR26365.1	1.2e-216	732.2
QLR64930.1	1.2e-216	732.2
QLS37189.1	1.2e-216	732.2
QLS67577.1	1.2e-216	732.2
QLS97037.1	1.2e-216	732.2
QLT56406.1	1.2e-216	732.2
QLU32687.1	1.2e-216	732.2
QLU53502.1	1.2e-216	732.2
QLV38351.1	1.2e-216	732.2
QLV89942.1	1.2e-216	732.2
QLW57368.1	1.2e-216	732.2
QLW62276.1	1.2e-216	732.2
QLZ28308.1	1.2e-216	732.2
QLZ43646.1	1.2e-216	732.2
QLZ80656.1	1.2e-216	732.2
QMA20548.1	1.2e-216	732.2
QMA30030.1	1.2e-216	732.2
QMA34617.1	1.2e-216	732.2
QMD08648.1	1.2e-216	732.2
QMD54939.1	1.2e-216	732.2
QMR48688.1	1.2e-216	732.2
QYO51219.1	1.2e-216	732.2
AUO66672.1	1.2e-216	732.2
QEP63246.1	1.2e-216	732.2
AAC76800.1	1.2e-216	732.2
AAZ90493.1	1.2e-216	732.2
ACB04823.1	1.2e-216	732.2
ACR65260.1	1.2e-216	732.2
ACX41782.1	1.2e-216	732.2
AEE59108.1	1.2e-216	732.2
AGX35732.1	1.2e-216	732.2
AIF39068.1	1.2e-216	732.2
AIN34108.1	1.2e-216	732.2
AIZ30277.1	1.2e-216	732.2
AIZ53601.1	1.2e-216	732.2
AIZ93415.1	1.2e-216	732.2
AJB53810.1	1.2e-216	732.2
AJF58660.1	1.2e-216	732.2
AKA92985.1	1.2e-216	732.2
AKC14056.1	1.2e-216	732.2
AKD59013.1	1.2e-216	732.2
AKD63393.1	1.2e-216	732.2
AKD67763.1	1.2e-216	732.2
AKD72120.1	1.2e-216	732.2
AKD76482.1	1.2e-216	732.2
AKD80902.1	1.2e-216	732.2
AKD85264.1	1.2e-216	732.2
AKD89625.1	1.2e-216	732.2
AKF57537.1	1.2e-216	732.2
AKF61676.1	1.2e-216	732.2
AKF65815.1	1.2e-216	732.2
AKF69955.1	1.2e-216	732.2
AKF74093.1	1.2e-216	732.2
AKK15918.1	1.2e-216	732.2
AKO54962.1	1.2e-216	732.2
AKR22594.1	1.2e-216	732.2
AKR26946.1	1.2e-216	732.2
AKR31439.1	1.2e-216	732.2
ALB33807.1	1.2e-216	732.2
ALI38526.1	1.2e-216	732.2
ALI42925.1	1.2e-216	732.2
ALI47322.1	1.2e-216	732.2
ALL95725.1	1.2e-216	732.2
ALQ74615.1	1.2e-216	732.2
ALZ58084.1	1.2e-216	732.2
AMB56429.1	1.2e-216	732.2
AMC96673.1	1.2e-216	732.2
AMF89618.1	1.2e-216	732.2
AMG17274.1	1.2e-216	732.2
AMH32390.1	1.2e-216	732.2
AMH37109.1	1.2e-216	732.2
AMK99720.1	1.2e-216	732.2
AMU84359.1	1.2e-216	732.2
ANK11347.1	1.2e-216	732.2
ANO27614.1	1.2e-216	732.2
AOM48971.1	1.2e-216	732.2
AOM55600.1	1.2e-216	732.2
AOM60280.1	1.2e-216	732.2
AOO71990.1	1.2e-216	732.2
AOR17796.1	1.2e-216	732.2
APC53627.1	1.2e-216	732.2
APE55534.1	1.2e-216	732.2
APE60484.1	1.2e-216	732.2
APE65364.1	1.2e-216	732.2
APE70199.1	1.2e-216	732.2
APK17723.1	1.2e-216	732.2
APK21482.1	1.2e-216	732.2
APK41298.1	1.2e-216	732.2
APK71651.1	1.2e-216	732.2
APK74513.1	1.2e-216	732.2
APK94710.1	1.2e-216	732.2
APK98819.1	1.2e-216	732.2
APL33858.1	1.2e-216	732.2
APL49278.1	1.2e-216	732.2
APL80134.1	1.2e-216	732.2
APQ23813.1	1.2e-216	732.2
APT05223.1	1.2e-216	732.2
AQP93709.1	1.2e-216	732.2
AQU01579.1	1.2e-216	732.2
AQV35213.1	1.2e-216	732.2
AQV88272.1	1.2e-216	732.2
AQW75489.1	1.2e-216	732.2
AQZ28369.1	1.2e-216	732.2
AQZ84096.1	1.2e-216	732.2
ARA00211.1	1.2e-216	732.2
ARM40820.1	1.2e-216	732.2
ARQ23998.1	1.2e-216	732.2
ARR32874.1	1.2e-216	732.2
ARR41359.1	1.2e-216	732.2
ARS06002.1	1.2e-216	732.2
ART19164.1	1.2e-216	732.2
ART26944.1	1.2e-216	732.2
ARV55609.1	1.2e-216	732.2
ARW85765.1	1.2e-216	732.2
ARX16389.1	1.2e-216	732.2
ARX28243.1	1.2e-216	732.2
ARZ83869.1	1.2e-216	732.2
ARZ88108.1	1.2e-216	732.2
ASB78103.1	1.2e-216	732.2
ASN31734.1	1.2e-216	732.2
ASN35926.1	1.2e-216	732.2
ASN42410.1	1.2e-216	732.2
ASO02890.1	1.2e-216	732.2
ASO85707.1	1.2e-216	732.2
ASO95261.1	1.2e-216	732.2
ASZ43769.1	1.2e-216	732.2
ASZ48251.1	1.2e-216	732.2
ATC00125.1	1.2e-216	732.2
ATC05621.1	1.2e-216	732.2
ATC14802.1	1.2e-216	732.2
ATH90450.1	1.2e-216	732.2
ATM10637.1	1.2e-216	732.2
ATW95602.1	1.2e-216	732.2
ATX18376.1	1.2e-216	732.2
ATX48625.1	1.2e-216	732.2
ATX52593.1	1.2e-216	732.2
ATZ32591.1	1.2e-216	732.2
AUF77904.1	1.2e-216	732.2
AUG18495.1	1.2e-216	732.2
AUJ93479.1	1.2e-216	732.2
AUK14027.1	1.2e-216	732.2
AUK19183.1	1.2e-216	732.2
AUK24286.1	1.2e-216	732.2
AUL65916.1	1.2e-216	732.2
AUL87567.1	1.2e-216	732.2
AUL92652.1	1.2e-216	732.2
AUM24949.1	1.2e-216	732.2
AUN49806.1	1.2e-216	732.2
AUO59737.1	1.2e-216	732.2
AUS40486.1	1.2e-216	732.2
AUV21776.1	1.2e-216	732.2
AUY89504.1	1.2e-216	732.2
AUY94929.1	1.2e-216	732.2
AUZ08068.1	1.2e-216	732.2
AVB47828.1	1.2e-216	732.2
AVD31025.1	1.2e-216	732.2
AVR71043.1	1.2e-216	732.2
AVS07972.1	1.2e-216	732.2
AVT65194.1	1.2e-216	732.2
AVU58029.1	1.2e-216	732.2
AVZ11612.1	1.2e-216	732.2
AVZ51487.1	1.2e-216	732.2
AVZ55905.1	1.2e-216	732.2
AWF19236.1	1.2e-216	732.2
AWJ27206.1	1.2e-216	732.2
AWJ35017.1	1.2e-216	732.2
AWJ40827.1	1.2e-216	732.2
AWJ46080.1	1.2e-216	732.2
AWJ57283.1	1.2e-216	732.2
AWN71319.1	1.2e-216	732.2
AWO19588.1	1.2e-216	732.2
AWS39067.1	1.2e-216	732.2
AWU92505.1	1.2e-216	732.2
AWV08901.1	1.2e-216	732.2
AWX16403.1	1.2e-216	732.2
AWZ54331.1	1.2e-216	732.2
AWZ59636.1	1.2e-216	732.2
AXA11125.1	1.2e-216	732.2
AXI37746.1	1.2e-216	732.2
AXL19853.1	1.2e-216	732.2
AYG21400.1	1.2e-216	732.2
AYN92116.1	1.2e-216	732.2
AYP04265.1	1.2e-216	732.2
AYR81486.1	1.2e-216	732.2
AZG54490.1	1.2e-216	732.2
AZH46203.1	1.2e-216	732.2
AZM36022.1	1.2e-216	732.2
AZM43285.1	1.2e-216	732.2
AZR20801.1	1.2e-216	732.2
BAE77504.1	1.2e-216	732.2
BAI27950.1	1.2e-216	732.2
BAI38371.1	1.2e-216	732.2
BAJ45532.1	1.2e-216	732.2
BAL40376.1	1.2e-216	732.2
BBF50335.1	1.2e-216	732.2
BBF55716.1	1.2e-216	732.2
BBF61954.1	1.2e-216	732.2
BBG80165.1	1.2e-216	732.2
BBJ93821.1	1.2e-216	732.2
BBL44185.1	1.2e-216	732.2
BBP19395.1	1.2e-216	732.2
BBP22087.1	1.2e-216	732.2
BBP28218.1	1.2e-216	732.2
BBP32663.1	1.2e-216	732.2
BBP36916.1	1.2e-216	732.2
BBP39774.1	1.2e-216	732.2
BBQ64756.1	1.2e-216	732.2
BBS29439.1	1.2e-216	732.2
BBS79698.1	1.2e-216	732.2
BBT59753.1	1.2e-216	732.2
CAR00766.1	1.2e-216	732.2
CDJ73091.1	1.2e-216	732.2
CDY62755.1	1.2e-216	732.2
CDZ22565.1	1.2e-216	732.2
CUQ99068.1	1.2e-216	732.2
QAA91761.1	1.2e-216	732.2
QAU57751.1	1.2e-216	732.2
QAU62092.1	1.2e-216	732.2
QAU79433.1	1.2e-216	732.2
QAU94966.1	1.2e-216	732.2
QBF93515.1	1.2e-216	732.2
QBG60716.1	1.2e-216	732.2
QBJ60942.1	1.2e-216	732.2
QBK02813.1	1.2e-216	732.2
QBM95971.1	1.2e-216	732.2
QBO40288.1	1.2e-216	732.2
QBO43538.1	1.2e-216	732.2
QBO51529.1	1.2e-216	732.2
QBO94698.1	1.2e-216	732.2
QBO99411.1	1.2e-216	732.2
QBP03886.1	1.2e-216	732.2
QBP88111.1	1.2e-216	732.2
QBQ24777.1	1.2e-216	732.2
QBZ35541.1	1.2e-216	732.2
QCA24944.1	1.2e-216	732.2
QCH48595.1	1.2e-216	732.2
QCH53687.1	1.2e-216	732.2
QCH75015.1	1.2e-216	732.2
QCH80071.1	1.2e-216	732.2
QCI02392.1	1.2e-216	732.2
QCJ14295.1	1.2e-216	732.2
QCJ62073.1	1.2e-216	732.2
QCV93136.1	1.2e-216	732.2
QCW32440.1	1.2e-216	732.2
QCW36639.1	1.2e-216	732.2
QCW48518.1	1.2e-216	732.2
QDH99007.1	1.2e-216	732.2
QDJ89941.1	1.2e-216	732.2
QDM06647.1	1.2e-216	732.2
QEE89796.1	1.2e-216	732.2
QEF09909.1	1.2e-216	732.2
QEF14549.1	1.2e-216	732.2
QEF56629.1	1.2e-216	732.2
QEF61030.1	1.2e-216	732.2
QEF74833.1	1.2e-216	732.2
QEG93965.1	1.2e-216	732.2
QEH86467.1	1.2e-216	732.2
QEI67436.1	1.2e-216	732.2
QEI89220.1	1.2e-216	732.2
QEI95091.1	1.2e-216	732.2
QEI99409.1	1.2e-216	732.2
QEJ03705.1	1.2e-216	732.2
QEJ08164.1	1.2e-216	732.2
QEJ12626.1	1.2e-216	732.2
QEJ13103.1	1.2e-216	732.2
QEJ18936.1	1.2e-216	732.2
QEJ25588.1	1.2e-216	732.2
QEJ26201.1	1.2e-216	732.2
QEJ34249.1	1.2e-216	732.2
QEJ38591.1	1.2e-216	732.2
QEJ42899.1	1.2e-216	732.2
QEJ47215.1	1.2e-216	732.2
QEJ47690.1	1.2e-216	732.2
QEJ55759.1	1.2e-216	732.2
QEJ63555.1	1.2e-216	732.2
QEM53072.1	1.2e-216	732.2
QEP77288.1	1.2e-216	732.2
QEP86476.1	1.2e-216	732.2
QEP90872.1	1.2e-216	732.2
QER61071.1	1.2e-216	732.2
QER65806.1	1.2e-216	732.2
QEX55998.1	1.2e-216	732.2
QEX61597.1	1.2e-216	732.2
QEX68804.1	1.2e-216	732.2
QEY40329.1	1.2e-216	732.2
QEY44863.1	1.2e-216	732.2
QEY49428.1	1.2e-216	732.2
QFF97049.1	1.2e-216	732.2
QFG15618.1	1.2e-216	732.2
QFU37037.1	1.2e-216	732.2
QGF36145.1	1.2e-216	732.2
QGG66903.1	1.2e-216	732.2
QGK10033.1	1.2e-216	732.2
QGL30669.1	1.2e-216	732.2
QGL35191.1	1.2e-216	732.2
QGL42977.1	1.2e-216	732.2
QGQ17287.1	1.2e-216	732.2
QGR51425.1	1.2e-216	732.2
QGU45576.1	1.2e-216	732.2
QGU56923.1	1.2e-216	732.2
QGY07863.1	1.2e-216	732.2
QGY17226.1	1.2e-216	732.2
QGY21978.1	1.2e-216	732.2
QGY26213.1	1.2e-216	732.2
QHB67119.1	1.2e-216	732.2
QHF70500.1	1.2e-216	732.2
QHF75558.1	1.2e-216	732.2
QHF80949.1	1.2e-216	732.2
QHF86154.1	1.2e-216	732.2
QHG39256.1	1.2e-216	732.2
QHG48024.1	1.2e-216	732.2
QHI94656.1	1.2e-216	732.2
QHJ62207.1	1.2e-216	732.2
QHL85254.1	1.2e-216	732.2
QHN47632.1	1.2e-216	732.2
QHQ08793.1	1.2e-216	732.2
QHQ12783.1	1.2e-216	732.2
QHR03874.1	1.2e-216	732.2
QHR28932.1	1.2e-216	732.2
QHR62650.1	1.2e-216	732.2
QHW47411.1	1.2e-216	732.2
QHW65767.1	1.2e-216	732.2
QHW85563.1	1.2e-216	732.2
QHW90139.1	1.2e-216	732.2
QIA41255.1	1.2e-216	732.2
QIB15897.1	1.2e-216	732.2
QIE69924.1	1.2e-216	732.2
QIF74598.1	1.2e-216	732.2
QIG10329.1	1.2e-216	732.2
QIG14599.1	1.2e-216	732.2
QIH01808.1	1.2e-216	732.2
QIM01285.1	1.2e-216	732.2
QIM34560.1	1.2e-216	732.2
QIM38951.1	1.2e-216	732.2
QIN55828.1	1.2e-216	732.2
QIN76482.1	1.2e-216	732.2
QIP98549.1	1.2e-216	732.2
QIQ96445.1	1.2e-216	732.2
QIR59206.1	1.2e-216	732.2
QIZ57309.1	1.2e-216	732.2
QJC47920.1	1.2e-216	732.2
QJE06110.1	1.2e-216	732.2
QJG28333.1	1.2e-216	732.2
QJT87930.1	1.2e-216	732.2
QJX87982.1	1.2e-216	732.2
QJX89852.1	1.2e-216	732.2
QJX94615.1	1.2e-216	732.2
QJX99190.1	1.2e-216	732.2
QJY04426.1	1.2e-216	732.2
QJY08806.1	1.2e-216	732.2
QJY11909.1	1.2e-216	732.2
QJY18024.1	1.2e-216	732.2
QJY19506.1	1.2e-216	732.2
QJY25188.1	1.2e-216	732.2
QJY29881.1	1.2e-216	732.2
QJZ10130.1	1.2e-216	732.2
QJZ18512.1	1.2e-216	732.2
QJZ22549.1	1.2e-216	732.2
QJZ26896.1	1.2e-216	732.2
QKF25172.1	1.2e-216	732.2
QKF28317.1	1.2e-216	732.2
QKF35919.1	1.2e-216	732.2
QKI50792.1	1.2e-216	732.2
QKY94107.1	1.2e-216	732.2
QLM49816.1	1.2e-216	732.2
QLN07341.1	1.2e-216	732.2
QLN10628.1	1.2e-216	732.2
QLN16858.1	1.2e-216	732.2
QLO70205.1	1.2e-216	732.2
QMT88462.1	1.2e-216	732.2
QQM57847.1	1.2e-216	732.2
QSR41086.1	1.2e-216	732.2
QSV49419.1	1.2e-216	732.2
QXZ36886.1	1.2e-216	732.2
QYE25665.1	1.2e-216	732.2
SCA73674.1	1.2e-216	732.2
SMB37269.1	1.2e-216	732.2
SMB37270.1	1.2e-216	732.2
ULI37831.1	1.2e-216	732.2
ULI55688.1	1.2e-216	732.2
ULI92072.1	1.2e-216	732.2
ULJ06938.1	1.2e-216	732.2
ULJ59014.1	1.2e-216	732.2
ULJ98035.1	1.2e-216	732.2
ULK60212.1	1.2e-216	732.2
UMU42022.1	1.2e-216	732.2
UMU45066.1	1.2e-216	732.2
UMU60888.1	1.2e-216	732.2
UMU63959.1	1.2e-216	732.2
UMU74121.1	1.2e-216	732.2
UMV03447.1	1.2e-216	732.2
UMV33737.1	1.2e-216	732.2
VDY81825.1	1.2e-216	732.2
VDZ04493.1	1.2e-216	732.2
VDZ10714.1	1.2e-216	732.2
VEA57000.1	1.2e-216	732.2
VEC35373.1	1.2e-216	732.2
VEC46132.1	1.2e-216	732.2
VEC67313.1	1.2e-216	732.2
VEC72260.1	1.2e-216	732.2
VEC85761.1	1.2e-216	732.2
VED22397.1	1.2e-216	732.2
VED30487.1	1.2e-216	732.2
VEE35389.1	1.2e-216	732.2
VEE36482.1	1.2e-216	732.2
VEF01427.1	1.2e-216	732.2
VEF23910.1	1.2e-216	732.2
VFQ40610.1	1.2e-216	732.2
QLM36905.1	1.2e-216	732.1
QMA58502.1	1.2e-216	732.1
QMA80982.1	1.2e-216	732.1
QMA94442.1	1.2e-216	732.1
QMB03539.1	1.2e-216	732.1
QMB12527.1	1.2e-216	732.1
QMC66411.1	1.2e-216	732.1
QMC75832.1	1.2e-216	732.1
QME74438.1	1.2e-216	732.1
QME86357.1	1.2e-216	732.1
QME95510.1	1.2e-216	732.1
QMG50317.1	1.2e-216	732.1
QMO24304.1	1.2e-216	732.1
QMO62074.1	1.2e-216	732.1
UAW34612.1	1.2e-216	732.1
UAW44271.1	1.2e-216	732.1
CAQ91170.1	1.2e-216	732.1
QKD67402.1	1.2e-216	732.1
QLM10152.1	1.2e-216	732.1
QLM14744.1	1.2e-216	732.1
QLM19339.1	1.2e-216	732.1
QLN02392.1	1.2e-216	732.1
QMC80099.1	1.2e-216	732.1
QMF35794.1	1.2e-216	732.1
QMF78388.1	1.2e-216	732.1
QML20286.1	1.2e-216	732.1
QMQ72645.1	1.2e-216	732.1
UAT33643.1	1.2e-216	732.1
UAT39934.1	1.2e-216	732.1
URA02303.1	1.2e-216	732.1
APJ70265.1	1.3e-216	732.0
AQV29938.1	1.3e-216	732.0
ASX08570.1	1.3e-216	732.0
ATI08212.1	1.3e-216	732.0
AYE18213.1	1.3e-216	732.0
BBS75100.1	1.3e-216	732.0
BBT78059.1	1.3e-216	732.0
BBU16138.1	1.3e-216	732.0
CAR15454.1	1.3e-216	732.0
QDM72894.1	1.3e-216	732.0
QJG00471.1	1.3e-216	732.0
QJG56164.1	1.3e-216	732.0
QJG59991.1	1.3e-216	732.0
QJS59401.1	1.3e-216	732.0
QKI56100.1	1.3e-216	732.0
QLC53518.1	1.3e-216	732.0
QRA66944.1	1.3e-216	732.0
QRA90733.1	1.3e-216	732.0
VEC75276.1	1.3e-216	732.0
AKK14476.2	1.3e-216	732.0
CQR83212.1	1.3e-216	732.0
QCD72064.1	1.4e-216	731.9
AAG58989.1	1.4e-216	731.9
ABF05731.1	1.4e-216	731.9
ABV08203.1	1.4e-216	731.9
ABV18793.1	1.4e-216	731.9
ACA79806.1	1.4e-216	731.9
ACI36678.1	1.4e-216	731.9
ACI74996.1	1.4e-216	731.9
ACI74997.1	1.4e-216	731.9
ACI74998.1	1.4e-216	731.9
ACI74999.1	1.4e-216	731.9
ACI75000.1	1.4e-216	731.9
ACT31226.1	1.4e-216	731.9
ACT41310.1	1.4e-216	731.9
ACT45465.1	1.4e-216	731.9
ACT74553.1	1.4e-216	731.9
ADD59044.1	1.4e-216	731.9
ADT77417.1	1.4e-216	731.9
AEQ15130.1	1.4e-216	731.9
AEZ42945.1	1.4e-216	731.9
AFH13640.1	1.4e-216	731.9
AFH15784.1	1.4e-216	731.9
AFJ31516.1	1.4e-216	731.9
AFS59607.1	1.4e-216	731.9
AFS76823.1	1.4e-216	731.9
AFS83882.1	1.4e-216	731.9
AGC89280.1	1.4e-216	731.9
AGW10842.1	1.4e-216	731.9
AHM46047.1	1.4e-216	731.9
AHM50650.1	1.4e-216	731.9
AHM55085.1	1.4e-216	731.9
AIF62888.1	1.4e-216	731.9
AIF96420.1	1.4e-216	731.9
AIG71253.1	1.4e-216	731.9
AIT36939.1	1.4e-216	731.9
AIZ80445.1	1.4e-216	731.9
AIZ84991.1	1.4e-216	731.9
AJA28891.1	1.4e-216	731.9
AJE58359.1	1.4e-216	731.9
AJF78914.1	1.4e-216	731.9
AJG10794.1	1.4e-216	731.9
AJH12433.1	1.4e-216	731.9
AKE86718.1	1.4e-216	731.9
AKH24459.1	1.4e-216	731.9
AKM37370.1	1.4e-216	731.9
AKN49668.1	1.4e-216	731.9
AKP86808.1	1.4e-216	731.9
ALH93107.1	1.4e-216	731.9
ALN47874.1	1.4e-216	731.9
ALQ57193.1	1.4e-216	731.9
ALY15344.1	1.4e-216	731.9
AMG80873.1	1.4e-216	731.9
AMH20406.1	1.4e-216	731.9
AMH24614.1	1.4e-216	731.9
AMR21216.1	1.4e-216	731.9
AMW43626.1	1.4e-216	731.9
AMW49046.1	1.4e-216	731.9
ANE64861.1	1.4e-216	731.9
ANG71293.1	1.4e-216	731.9
ANG76792.1	1.4e-216	731.9
ANG82472.1	1.4e-216	731.9
ANM84604.1	1.4e-216	731.9
ANO80343.1	1.4e-216	731.9
ANO91748.1	1.4e-216	731.9
ANP09819.1	1.4e-216	731.9
ANP20633.1	1.4e-216	731.9
ANP30459.1	1.4e-216	731.9
ANQ03164.1	1.4e-216	731.9
ANW29497.1	1.4e-216	731.9
ANW42773.1	1.4e-216	731.9
AOD09048.1	1.4e-216	731.9
AOV24263.1	1.4e-216	731.9
AOV29616.1	1.4e-216	731.9
AOV34981.1	1.4e-216	731.9
AOV40385.1	1.4e-216	731.9
AOV45744.1	1.4e-216	731.9
AOV51141.1	1.4e-216	731.9
AOV56511.1	1.4e-216	731.9
AOX54900.1	1.4e-216	731.9
AOX60292.1	1.4e-216	731.9
APA39730.1	1.4e-216	731.9
APE82421.1	1.4e-216	731.9
APE94388.1	1.4e-216	731.9
API00911.1	1.4e-216	731.9
API06530.1	1.4e-216	731.9
API12105.1	1.4e-216	731.9
API17669.1	1.4e-216	731.9
API23314.1	1.4e-216	731.9
API28806.1	1.4e-216	731.9
API34478.1	1.4e-216	731.9
API40039.1	1.4e-216	731.9
APJ66223.1	1.4e-216	731.9
APJ79191.1	1.4e-216	731.9
APJ85052.1	1.4e-216	731.9
APK01405.1	1.4e-216	731.9
APK04197.1	1.4e-216	731.9
APK13081.1	1.4e-216	731.9
APK29864.1	1.4e-216	731.9
APK48952.1	1.4e-216	731.9
APK51418.1	1.4e-216	731.9
APK56088.1	1.4e-216	731.9
APK61197.1	1.4e-216	731.9
APK64595.1	1.4e-216	731.9
APK82064.1	1.4e-216	731.9
APK84148.1	1.4e-216	731.9
APK91003.1	1.4e-216	731.9
APL05554.1	1.4e-216	731.9
