query_id	hmm_name	evalue	score
BAQ00957.1	X613	1.2e-25	87.4
BAQ00975.1	X615	1.7e-07	27.2
BAQ00994.1	X609	0.00013	17.8
BAQ01012.1	X617	4.4e-25	85.6
BAQ01024.1	X617_1	5.1e-93	308.8
BAQ01043.1	X614	1.1e-15	54.4
BAQ02116.1	X617	5.3e-48	160.9
AAL67557.1	X617	2.1e-12	43.9
ABB29916.1	X617	2.2e-37	126.1
AAV74376.1	X633	6.1e-30	101.2
ADJ19217.1	X611	9.9e-06	21.8
BAQ01114.1	X613	1.3e-08	31.2
BAQ01137.1	X612	4.6e-31	105.0
AAZ20761.1	X633	8e-06	21.8
BAQ01155.1	X608	2e-05	20.5
BAQ01169.1	X617	2.1e-23	80.1
BAQ01187.1	X606_2	5.2e-191	632.2
ADI77033.1	X606_2	3.9e-166	550.2
AAY23733.1	X608	5.6e-06	22.3
ADC54967.1	X617_1	1.4e-74	248.2
BAQ01218.1	X615	6.6e-10	35.2
BAQ02177.1	X608	9.7e-06	21.6
ACV67297.1	X617	5.2e-44	147.8
ACA24739.1	X607	0.0021	13.8
BAQ01238.1	X609	5.1e-08	29.0
BAQ01252.1	X631	1.7e-72	241.5
BAQ01266.1	X613	4e-16	56.0
BAQ01277.1	X615	4.2e-08	29.2
BAQ01293.1	X617	3.1e-42	142.0
ADC54974.1	pfam09394	0.0054	13.8
AAO37717.1	X608	1.3e-09	34.4
ACA24901.1	X617	8.2e-46	153.7
BAQ01317.1	X611	1.2e-06	24.8
BAQ01361.1	X612	2.1e-06	23.7
BAQ01386.1	X614	0.06	9.1
BAQ01419.1	X614	2.5e-14	49.8
BAQ01456.1	X614	8.6e-16	54.7
AAS73171.1	X617	9.7e-38	127.2
AAK64372.1	X617_3	1.8e-50	168.9
ACA24829.1	X617_1	6.5e-54	180.2
BAQ02189.1	X608	9.7e-06	21.6
ACH97132.1	X608	1.4e-41	139.8
BAQ01516.1	X612	3.4e-21	72.5
AAD46730.1	X615	0.0096	11.5
ACD37086.1	X634	6.8e-93	308.7
BAQ01545.1	X615	0.0027	13.3
AAD50486.1	X634	4.6e-97	322.4
AAT77177.1	X606_1	3.4e-96	319.9
BAQ01563.1	X617	2.3e-35	119.4
ABE98413.1	X608	1.4e-41	139.7
BAQ02200.1	X617_4	6.6e-117	387.6
ADB02825.1	X633	1.1e-17	60.9
BAQ01584.1	X631	8.5e-90	298.5
AAO39700.1	X633	1.6e-116	386.4
BAQ02224.1	X633	4.2e-118	391.6
BAQ02241.1	GT32	7.9e-43	144.2
ABE98419.1	X617	5e-06	23.0
BAQ01623.1	X612	1.8e-06	23.9
AAO37701.1	X617	4.9e-42	141.3
BAQ02259.1	X614	3.6e-78	260.1
ACD37157.1	X615	5.7e-06	22.2
BAQ01641.1	X631	2.7e-93	310.0
BAQ01659.1	X605	4.3e-67	223.6
BAQ01675.1	X612	1.6e-27	93.3
BAQ01687.1	X613	1.2e-25	87.4
BAQ02275.1	X614	3.6e-78	260.1
BAQ01702.1	X615	2.4e-18	62.9
BAQ02286.1	X607	0.0019	14.0
AAZ85713.1	X614	2.2e-113	376.1
AAZ85718.1	X612	1.2e-52	176.1
BAQ01716.1	X617	2.7e-17	60.0
ABI98976.1	X617	2.4e-42	142.3
BAQ01732.1	X612	5.2e-78	259.7
ACA24764.1	X605_1	2.3e-91	303.7
BAQ01743.1	X631	5.2e-118	391.4
AAV74530.1	X615	9.9e-08	28.0
ABE98437.1	X614	2.2e-17	59.9
ABI98986.1	X614	1.5e-20	70.3
ABA42232.1	X612	2.9e-21	72.7
ABI98966.1	X617	1.6e-27	93.6
ACA24803.1	X617	5.1e-27	92.0
BAQ02302.1	X617_4	9.3e-117	387.1
ACA24821.1	X617_4	8e-120	397.2
BAQ01759.1	X613	1.7e-37	126.3
BAQ01780.1	X610	2.5e-16	56.7
AAV74550.1	X617	2.4e-18	63.4
BAQ01793.1	X609	7.3e-08	28.5
AAC32340.1	X612	8.4e-06	21.7
ADN43871.1	X609	2.8e-08	29.8
BAQ01812.1	X613	2.8e-13	46.6
BAQ01843.1	X633	4.9e-112	371.6
BAQ02323.1	X617	7e-34	114.5
ADC54957.1	X617	3.1e-39	132.1
ACD37046.1	X605_2	1.3e-129	429.7
ACD36996.1	X615	4.2e-09	32.5
BAQ01860.1	X617	5e-44	147.9
BAQ01878.1	X609	0.0015	14.2
BAQ01894.1	X614	0.00016	17.6
AAT28922.1	X633	5.1e-24	81.7
ADN43894.1	X617_4	7.4e-115	380.9
BAQ01907.1	X615	7.3e-15	51.5
BAQ01935.1	X608	3.4e-05	19.8
AAY28257.1	X614	1.6e-73	244.9
BAQ01948.1	X613	1.6e-37	126.4
BAQ01960.1	X615	9.4e-09	31.3
BAQ01982.1	X606_1	2.9e-122	405.8
BAQ01999.1	X634	1.1e-86	288.2
BAL03056.1	X617	2e-43	145.9
BAQ02048.1	X608_4	1.4e-113	377.1
BAQ02068.1	X633	4.2e-118	391.6
BAQ02088.1	X605_1	1.9e-100	333.6
ACD37126.1	X612	9.5e-26	87.5
ACD37037.1	X605_2	8.8e-130	430.2
ABB65530.1	X614	1.3e-15	54.1
AAL27327.1	X607	0.0044	12.8
AAL27339.1	X617	3.4e-43	145.1
ACA24754.1	X605_1	3.5e-89	296.5
AAL27351.1	X612	2.1e-14	50.1
AAS98031.1	X617_1	8.2e-54	179.9
AAR24270.1	X633	1.4e-27	93.4
ACD37051.1	X615	7.6e-10	34.9
ACD37078.1	X634	1.4e-93	310.9
ABD19779.1	X615	4.7e-07	25.7
ABI55342.1	X631	8.4e-92	305.1
ABU80601.1	X614	1.4e-20	70.5
ACD37006.1	X615	0.00058	15.6
ACD37105.1	X617	4.7e-34	115.1
ACD36984.1	X615	4.2e-09	32.5
AAR97964.1	X633	1.6e-116	386.3
ACA24776.1	X631	2.4e-92	306.9
ACD37111.1	X605	3.4e-20	69.2
ACA24912.1	X615	4.1e-06	22.7
ACA24840.1	X617	2.8e-44	148.7
ACA24811.1	X617_4	6.4e-120	397.5
ACA24792.1	X617	6.2e-27	91.7
AAM27546.1	X608_4	8e-149	493.2
AAM27728.1	X611_2	3.4e-228	754.7
AAM27766.1	X614	9.6e-110	364.1
AAM27782.1	X614	1.7e-91	304.0
AAM27801.1	X611_2	3.4e-228	754.7
AAM27879.1	X617	1.3e-38	130.0
AAM27560.1	X612	1.1e-22	77.4
AAM27574.1	X615	2e-07	27.0
AAM27615.1	X614	9.7e-106	350.9
AAM27645.1	X614	1.1e-109	363.9
AAM27662.1	X611_2	3.1e-227	751.5
AAM27693.1	X611_2	3.4e-228	754.7
AAM27711.1	X612	1.1e-22	77.4
AAM27748.1	X611_2	3.4e-228	754.7
AFW04820.1	X617_1	7e-84	278.8
AFW04741.1	X615	3.6e-09	32.7
AFW04706.1	X608_1	1.1e-239	792.7
AFW04812.1	X617	3e-36	122.3
AFW04802.1	X608	1.5e-16	57.2
AFW04716.1	X615	2.3e-08	30.0
AFW04867.1	X617_4	1.3e-116	386.6
AFW04668.1	X615	6.7e-13	45.0
AFW04888.1	X617	5.3e-45	151.1
AFW04790.1	X612	1.7e-08	30.6
AFW04883.1	X617_1	3.6e-92	306.0
AFW04847.1	X605_1	2.2e-98	326.8
AFW04860.1	X617	2.1e-41	139.2
AFW04785.1	X617	7.6e-40	134.1
AFW04735.1	X617	3.9e-20	69.3
AFW04684.1	X617	5.9e-40	134.5
