acc	evalue_clade1	evalue_clade2
AHQ18849.1	1.4e-183	2.9e-08
AHQ23117.1	1.4e-183	2.9e-08
AHQ31628.1	1.4e-183	2.9e-08
AHQ35543.1	1.4e-183	2.9e-08
AHQ49394.1	1.4e-183	2.9e-08
AHQ53657.1	1.4e-183	2.9e-08
AHQ57943.1	1.4e-183	2.9e-08
AHQ62225.1	1.4e-183	2.9e-08
AHQ66518.1	1.4e-183	2.9e-08
AHQ70938.1	1.4e-183	2.9e-08
AHQ75398.1	1.4e-183	2.9e-08
AHQ79763.1	1.4e-183	2.9e-08
AHQ84043.1	1.4e-183	2.9e-08
AHQ88326.1	1.4e-183	2.9e-08
AHQ92608.1	1.4e-183	2.9e-08
AHQ96887.1	1.4e-183	2.9e-08
AHQ99200.1	1.4e-183	2.9e-08
AHR03958.1	1.4e-183	2.9e-08
AHR07875.1	1.4e-183	2.9e-08
AHR12261.1	1.4e-183	2.9e-08
AHR16701.1	1.4e-183	2.9e-08
AHR21104.1	1.4e-183	2.9e-08
AHR25508.1	1.4e-183	2.9e-08
AHR29798.1	1.4e-183	2.9e-08
AHR34064.1	1.4e-183	2.9e-08
AHR38360.1	1.4e-183	2.9e-08
AHR42653.1	1.4e-183	2.9e-08
AHR44983.2	1.4e-183	2.9e-08
AHR49809.1	1.4e-183	2.9e-08
AHR54086.1	1.4e-183	2.9e-08
AHR58369.1	1.4e-183	2.9e-08
AHR62653.1	1.4e-183	2.9e-08
AHR64762.1	1.4e-183	2.9e-08
AHR69422.1	1.4e-183	2.9e-08
AHR73679.1	1.4e-183	2.9e-08
AHR77949.1	1.4e-183	2.9e-08
AHR82225.1	1.4e-183	2.9e-08
AHR85632.1	1.4e-183	2.9e-08
AHR90081.1	1.4e-183	2.9e-08
AHR94360.1	1.4e-183	2.9e-08
AHR98640.1	1.4e-183	2.9e-08
AHS02876.1	1.4e-183	2.9e-08
AHS07163.1	1.4e-183	2.9e-08
AHS11445.1	1.4e-183	2.9e-08
AHS15727.1	1.4e-183	2.9e-08
AHS19658.1	1.4e-183	2.9e-08
AHS23155.1	1.4e-183	2.9e-08
AHS26330.2	1.4e-183	2.9e-08
AHS29970.1	1.4e-183	2.9e-08
AHS34246.1	1.4e-183	2.9e-08
AHS38533.1	1.4e-183	2.9e-08
AHS42450.1	1.4e-183	2.9e-08
AHS46140.1	1.4e-183	2.9e-08
AHS49080.1	1.4e-183	2.9e-08
AHS57976.1	1.4e-183	2.9e-08
AHS59679.1	1.4e-183	2.9e-08
AHS64055.1	1.4e-183	2.9e-08
AHS72422.1	1.4e-183	2.9e-08
AHS78847.1	1.4e-183	2.9e-08
AHS83107.1	1.4e-183	2.9e-08
AHS87149.1	1.4e-183	2.9e-08
AHS91475.1	1.4e-183	2.9e-08
AHS95753.1	1.4e-183	2.9e-08
AHT00023.1	1.4e-183	2.9e-08
AHT04275.1	1.4e-183	2.9e-08
AHT06220.2	1.4e-183	2.9e-08
AHT11042.1	1.4e-183	2.9e-08
AHT15327.1	1.4e-183	2.9e-08
AHT19606.1	1.4e-183	2.9e-08
AHT23844.1	1.4e-183	2.9e-08
AHT28087.1	1.4e-183	2.9e-08
AHT32354.1	1.4e-183	2.9e-08
AHT36603.1	1.4e-183	2.9e-08
AHT40643.1	1.4e-183	2.9e-08
AHT44984.1	1.4e-183	2.9e-08
AHT49262.1	1.4e-183	2.9e-08
AHT53537.1	1.4e-183	2.9e-08
AHT55915.1	1.4e-183	2.9e-08
AHT60661.1	1.4e-183	2.9e-08
AHT64924.1	1.4e-183	2.9e-08
AHT69202.1	1.4e-183	2.9e-08
AHT73482.1	1.4e-183	2.9e-08
AHT77766.1	1.4e-183	2.9e-08
AHT82035.1	1.4e-183	2.9e-08
AHT86314.1	1.4e-183	2.9e-08
AHT90686.1	1.4e-183	2.9e-08
AHT95080.1	1.4e-183	2.9e-08
AHT97679.1	1.4e-183	2.9e-08
AHT99849.1	1.4e-183	2.9e-08
AHU04271.1	1.4e-183	2.9e-08
AHU08470.1	1.4e-183	2.9e-08
AHU12632.1	1.4e-183	2.9e-08
AHU16865.1	1.4e-183	2.9e-08
AHU21152.1	1.4e-183	2.9e-08
AHU25433.1	1.4e-183	2.9e-08
AHU29705.1	1.4e-183	2.9e-08
AHU33966.1	1.4e-183	2.9e-08
AHU38246.1	1.4e-183	2.9e-08
AHU42451.1	1.4e-183	2.9e-08
AHU46723.1	1.4e-183	2.9e-08
AHU50997.1	1.4e-183	2.9e-08
AHU55100.1	1.4e-183	2.9e-08
AHU59412.1	1.4e-183	2.9e-08
AHU63691.1	1.4e-183	2.9e-08
AHU67965.1	1.4e-183	2.9e-08
AHU72222.1	1.4e-183	2.9e-08
AHU76510.1	1.4e-183	2.9e-08
AHU80793.1	1.4e-183	2.9e-08
AHU94212.1	1.4e-183	2.9e-08
AHU98551.1	1.4e-183	2.9e-08
AHV02884.1	1.4e-183	2.9e-08
AHV07227.1	1.4e-183	2.9e-08
AHV11560.1	1.4e-183	2.9e-08
AHV15934.1	1.4e-183	2.9e-08
AHV20268.1	1.4e-183	2.9e-08
AHV28532.1	1.4e-183	2.9e-08
AHV32863.1	1.4e-183	2.9e-08
AHV41282.1	1.4e-183	2.9e-08
AHV47311.1	1.4e-183	2.9e-08
AHV51508.1	1.4e-183	2.9e-08
AHV55686.1	1.4e-183	2.9e-08
AHV60570.1	1.4e-183	2.9e-08
AHV64027.1	1.4e-183	2.9e-08
AHV68931.1	1.4e-183	2.9e-08
AHV72704.1	1.4e-183	2.9e-08
AHV76944.1	1.4e-183	2.9e-08
AHW04465.1	1.4e-183	2.9e-08
AHZ04619.1	1.4e-183	2.9e-08
AIK99691.1	1.4e-183	2.9e-08
AIM89846.1	1.4e-183	2.9e-08
AIM94211.1	1.4e-183	2.9e-08
AIN68262.1	1.4e-183	2.9e-08
AKG75502.1	1.4e-183	2.9e-08
AKQ36241.1	1.4e-183	2.9e-08
AKR61893.1	1.4e-183	2.9e-08
AKR66159.1	1.4e-183	2.9e-08
ALG55022.1	1.4e-183	2.9e-08
ALV19638.1	1.4e-183	2.9e-08
AMJ19034.1	1.4e-183	2.9e-08
AMJ19804.1	1.4e-183	2.9e-08
AMJ20475.1	1.4e-183	2.9e-08
AMJ21259.1	1.4e-183	2.9e-08
AML83180.1	1.4e-183	2.9e-08
AMM69491.1	1.4e-183	2.9e-08
AMN23074.1	1.4e-183	2.9e-08
AMN29544.1	1.4e-183	2.9e-08
ANF20746.1	1.4e-183	2.9e-08
ATD32168.1	1.4e-183	2.9e-08
ATD42355.1	1.4e-183	2.9e-08
AUU19458.1	1.4e-183	2.9e-08
AVB03715.1	1.4e-183	2.9e-08
AXX34523.1	1.4e-183	2.9e-08
AZI93605.1	1.4e-183	2.9e-08
CAR35114.1	1.4e-183	2.9e-08
CAR39498.1	1.4e-183	2.9e-08
CDS71162.1	1.4e-183	2.9e-08
QBA02892.1	1.4e-183	2.9e-08
QEO47726.1	1.4e-183	2.9e-08
QQC17820.1	1.4e-183	2.9e-08
QTA60164.1	1.4e-183	2.9e-08
QTA64548.1	1.4e-183	2.9e-08
QTA69173.1	1.4e-183	2.9e-08
QVI90630.1	1.4e-183	2.9e-08
QVI95111.1	1.4e-183	2.9e-08
UQS59701.1	1.4e-183	2.9e-08
AAV79366.1	1.4e-183	3.6e-08
AJD97539.1	1.4e-183	3.6e-08
AJD99238.1	1.4e-183	3.6e-08
AKO81534.1	1.4e-183	3.6e-08
CAR61594.1	1.4e-183	3.6e-08
AHW15616.1	1.5e-183	3.7e-10
AJQ67158.1	1.5e-183	3.7e-10
AJZ77525.1	1.5e-183	3.7e-10
AKF91339.1	1.5e-183	3.7e-10
ALO85098.1	1.5e-183	3.7e-10
ALO89684.1	1.5e-183	3.7e-10
AMY72655.1	1.5e-183	3.7e-10
AMY77004.1	1.5e-183	3.7e-10
AMY81751.1	1.5e-183	3.7e-10
AMY86326.1	1.5e-183	3.7e-10
AMZ05415.1	1.5e-183	3.7e-10
AMZ09978.1	1.5e-183	3.7e-10
AMZ14455.1	1.5e-183	3.7e-10
AMZ18895.1	1.5e-183	3.7e-10
QQH84751.1	1.5e-183	3.7e-10
QQI82248.1	1.5e-183	3.7e-10
QQJ26254.1	1.5e-183	3.7e-10
QGR30453.1	1.5e-183	3.2e-08
UBS82770.1	1.5e-183	3.2e-08
ASO08561.1	1.5e-183	1.8e-05
AVS11526.1	1.7e-183	2.9e-08
AWE23002.1	1.7e-183	2.9e-08
AWE32099.1	1.7e-183	2.9e-08
AZZ02324.1	1.7e-183	2.9e-08
CRY84840.1	1.7e-183	2.9e-08
QQH73212.1	1.7e-183	2.9e-08
QQI59049.1	1.7e-183	2.9e-08
QQJ19290.1	1.7e-183	2.9e-08
ACF92659.1	1.8e-183	2.1e-08
AHW24065.1	1.8e-183	2.1e-08
QKW84828.1	1.8e-183	2.1e-08
QQH98495.1	1.8e-183	2.1e-08
QQI55355.1	1.8e-183	2.1e-08
UBX33158.1	1.8e-183	2.1e-08
QGR35410.1	1.9e-183	3.8e-08
QQH70828.1	1.9e-183	3.8e-08
QQI81234.1	1.9e-183	3.8e-08
QJY53929.1	1.9e-183	2.4e-06
QGR56315.1	2e-183	2.5e-08
AGX12201.1	2.0999999999999998e-183	2.7e-06
AKG79942.1	2.0999999999999998e-183	2.7e-06
ALH00814.1	2.0999999999999998e-183	2.7e-06
ALH05182.1	2.0999999999999998e-183	2.7e-06
AUO50061.1	2.0999999999999998e-183	2.7e-06
QCW67539.1	2.0999999999999998e-183	2.7e-06
SQH38459.1	2.0999999999999998e-183	2e-06
ACN47871.1	2.4e-183	2.3e-06
AIK94676.1	2.4e-183	2.3e-06
QEP94993.1	2.4e-183	2.3e-06
QQI30680.1	2.4e-183	2.3e-06
AHQ44704.2	2.5e-183	4.4e-08
QED01885.1	2.5e-183	3.3e-08
QKW79532.1	2.5e-183	3.3e-08
ABX69923.1	2.6e-183	1.8e-08
AHW26131.1	2.6e-183	1.8e-08
SBL11469.1	2.6e-183	1.8e-08
AAL22572.1	2.6e-183	2.6e-08
ACF69468.1	2.6e-183	2.6e-08
ADX19503.1	2.6e-183	2.6e-08
AEF09545.1	2.6e-183	2.6e-08
AFD60572.1	2.6e-183	2.6e-08
AGK11346.1	2.6e-183	2.6e-08
AGQ62533.1	2.6e-183	2.6e-08
AGQ69865.1	2.6e-183	2.6e-08
AGQ78336.1	2.6e-183	2.6e-08
AGQ84286.1	2.6e-183	2.6e-08
AHB95558.1	2.6e-183	2.6e-08
AHX79406.1	2.6e-183	2.6e-08
AJQ80852.1	2.6e-183	2.6e-08
AKD10392.1	2.6e-183	2.6e-08
AKH09342.1	2.6e-183	2.6e-08
ALE64173.1	2.6e-183	2.6e-08
ALN25518.1	2.6e-183	2.6e-08
ALN30143.1	2.6e-183	2.6e-08
ALN34879.1	2.6e-183	2.6e-08
AMG25859.1	2.6e-183	2.6e-08
AML90921.1	2.6e-183	2.6e-08
AML96791.1	2.6e-183	2.6e-08
AMM01514.1	2.6e-183	2.6e-08
AMP80890.1	2.6e-183	2.6e-08
AMW96954.1	2.6e-183	2.6e-08
AMZ23182.1	2.6e-183	2.6e-08
AMZ27677.1	2.6e-183	2.6e-08
AMZ32274.1	2.6e-183	2.6e-08
AMZ36777.1	2.6e-183	2.6e-08
AMZ41528.1	2.6e-183	2.6e-08
AMZ46212.1	2.6e-183	2.6e-08
AMZ50911.1	2.6e-183	2.6e-08
AMZ55625.1	2.6e-183	2.6e-08
AMZ60323.1	2.6e-183	2.6e-08
AMZ65063.1	2.6e-183	2.6e-08
ANU86752.1	2.6e-183	2.6e-08
ANU91230.1	2.6e-183	2.6e-08
ANU95704.1	2.6e-183	2.6e-08
ANV00185.1	2.6e-183	2.6e-08
ANV04771.1	2.6e-183	2.6e-08
ANV09340.1	2.6e-183	2.6e-08
ANV13924.1	2.6e-183	2.6e-08
ANV18492.1	2.6e-183	2.6e-08
ARE50068.1	2.6e-183	2.6e-08
ASE69506.1	2.6e-183	2.6e-08
ASF66623.1	2.6e-183	2.6e-08
AVL59488.1	2.6e-183	2.6e-08
AVL60595.1	2.6e-183	2.6e-08
AWO06558.1	2.6e-183	2.6e-08
AWO10031.1	2.6e-183	2.6e-08
AWO51036.1	2.6e-183	2.6e-08
AWO59023.1	2.6e-183	2.6e-08
AZU09915.1	2.6e-183	2.6e-08
BAJ38713.1	2.6e-183	2.6e-08
BAP09686.1	2.6e-183	2.6e-08
CBG26715.1	2.6e-183	2.6e-08
CBW19773.1	2.6e-183	2.6e-08
CCW76395.1	2.6e-183	2.6e-08
CDG09754.1	2.6e-183	2.6e-08
QBR63812.1	2.6e-183	2.6e-08
QCG26437.1	2.6e-183	2.6e-08
QDD29075.1	2.6e-183	2.6e-08
QGR48945.1	2.6e-183	2.6e-08
QKX32519.1	2.6e-183	2.6e-08
QQB57243.1	2.6e-183	2.6e-08
QQH29618.1	2.6e-183	2.6e-08
QQH43844.1	2.6e-183	2.6e-08
QQI17173.1	2.6e-183	2.6e-08
QQI45125.1	2.6e-183	2.6e-08
QQI49600.1	2.6e-183	2.6e-08
QQI63641.1	2.6e-183	2.6e-08
QQJ14466.1	2.6e-183	2.6e-08
AGQ74882.1	2.8e-183	1.4e-07
QQJ33739.1	2.8e-183	1.4e-07
AHQ27376.2	2.9e-183	5.8e-08
AHS68213.2	2.9e-183	5.8e-08
ASO42327.1	3.1999999999999998e-183	2e-07
QDL21450.1	3.1999999999999998e-183	2e-07
QQI02891.1	3.1999999999999998e-183	2e-07
QQJ85390.1	3.1999999999999998e-183	2e-07
ASO35312.1	3.1999999999999998e-183	2.2e-06
ACY90858.1	3.3e-183	1.2e-07
AIE07686.1	3.3e-183	1.2e-07
AVL66058.1	3.3e-183	1.2e-07
QQJ10334.1	3.5e-183	4.9e-06
VEA00208.1	3.7e-183	1.7e-09
BBN70841.1	3.8e-183	5.7e-08
ASG86193.1	4.1999999999999996e-183	4.3e-06
AAX67542.1	4.4e-183	2.3e-05
AET56089.1	4.4e-183	2.3e-08
AGS64681.1	4.4e-183	2.3e-08
AGU66590.1	4.4e-183	2.3e-08
AKW09456.1	4.4e-183	2.3e-08
CDS69581.1	4.4e-183	2.3e-08
BBN75310.1	4.4e-183	1.6e-07
AKG32385.1	4.7e-183	2e-05
ASO26963.1	4.7e-183	2e-05
QEX03527.1	4.7e-183	2e-05
QQH89666.1	4.8e-183	3.7e-08
AZY96195.1	5.8e-183	1.1e-07
ASO36449.1	7.4e-183	1.7e-08
QQI68437.1	7.4e-183	1.7e-08
AHN78093.1	7.7e-183	9.8e-08
AMW51885.1	7.7e-183	9.8e-08
AZI76465.1	7.7e-183	9.8e-08
AAO71288.1	8.399999999999999e-183	8.7e-10
AEZ47606.1	8.399999999999999e-183	8.7e-10
AGK69318.1	8.399999999999999e-183	8.7e-10
ALG18201.1	8.399999999999999e-183	8.7e-10
ALG20643.1	8.399999999999999e-183	8.7e-10
CAD03281.1	8.399999999999999e-183	8.7e-10
QGT85095.1	8.399999999999999e-183	8.7e-10
ALP95897.1	8.8e-183	8.8e-08
ASE75858.1	8.8e-183	8.8e-08
ASO46334.1	8.8e-183	8.8e-08
AVS18204.1	8.8e-183	8.8e-08
CDF55989.1	8.8e-183	8.8e-08
QQH94090.1	8.8e-183	8.8e-08
QQI35500.1	8.8e-183	8.8e-08
QQI73066.1	8.8e-183	8.8e-08
QQJ28349.1	8.8e-183	8.8e-08
QSQ79932.1	8.8e-183	8.8e-08
AKW13744.1	9.6e-183	1.4e-07
AMW56442.1	9.6e-183	1.4e-07
CBY97894.1	9.6e-183	1.4e-07
CUR97438.1	9.6e-183	1.4e-07
CUR97439.1	9.6e-183	1.4e-07
CUR97440.1	9.6e-183	1.4e-07
CUS00062.1	9.6e-183	1.4e-07
QCW71912.1	9.6e-183	1.4e-07
QEC86332.1	9.6e-183	1.4e-07
AVT55226.1	1.1e-182	1.9e-07
UBU87452.1	1.1e-182	1.9e-07
ACF62503.1	1.2000000000000001e-182	2.5e-08
AGS27142.1	1.2000000000000001e-182	2.5e-08
AIT45224.1	1.2000000000000001e-182	2.5e-08
AJA99279.1	1.2000000000000001e-182	2.5e-08
AJB06133.1	1.2000000000000001e-182	2.5e-08
AJB10380.1	1.2000000000000001e-182	2.5e-08
AJB15496.1	1.2000000000000001e-182	2.5e-08
AJB20429.1	1.2000000000000001e-182	2.5e-08
AJB24722.1	1.2000000000000001e-182	2.5e-08
AKD15878.1	1.2000000000000001e-182	2.5e-08
ALC63064.1	1.2000000000000001e-182	2.5e-08
ALC68809.1	1.2000000000000001e-182	2.5e-08
ALC71674.1	1.2000000000000001e-182	2.5e-08
QOH94370.1	1.2000000000000001e-182	2.5e-08
QQH61232.1	1.2000000000000001e-182	2.5e-08
QQI43939.1	1.2000000000000001e-182	2.5e-08
AMY91021.1	1.3e-182	3.4e-10
ASO61629.1	1.9999999999999998e-182	1e-07
QJY75969.1	1.9999999999999998e-182	1e-07
VDY36923.1	1.9999999999999998e-182	1e-07
VEA44885.1	2.2e-182	8.1e-08
ASG52887.1	2.5e-182	1.6e-05
CCC32346.1	2.5e-182	1.6e-05
QGF75533.1	2.5e-182	1.6e-05
QQP75300.1	2.5e-182	1.6e-05
QUZ59049.1	2.5e-182	1.6e-05
QVP37536.1	2.5e-182	1.6e-05
QXY83577.1	2.5e-182	1.6e-05
SQI57257.1	3.1e-182	2.1e-06
ANA19023.1	3.3e-182	2.2e-06
ANA23247.1	3.3e-182	2.2e-06
ANA27586.1	3.3e-182	2.2e-06
ASG81576.1	3.3e-182	2.2e-06
ATW56837.1	3.3e-182	2.2e-06
ABX23722.1	3.9e-182	6.2e-08
QDD42301.1	3.9e-182	6.2e-08
AGR60974.1	4.2e-182	1.1e-05
QQH55565.1	4.5000000000000005e-182	5.1e-08
QQI86813.1	4.5000000000000005e-182	5.1e-08
QQI95535.1	4.5000000000000005e-182	5.1e-08
QQJ41431.1	4.5000000000000005e-182	5.1e-08
QQH37828.1	4.9e-182	6e-09
QQI97551.1	4.9e-182	6e-09
QJY71384.1	5.4e-182	1.1e-06
QJY64603.1	6.8e-182	2.7e-06
QJY58074.1	7.6e-182	3.1e-06
QKT17467.1	7.6e-182	3.1e-06
SQI68702.1	7.6e-182	3.1e-06
ASG73807.1	9.8e-182	4.6e-06
QAY22188.1	9.8e-182	4.6e-06
QKN98291.1	9.8e-182	4.6e-06
QJY68352.1	1e-181	3.8e-06
QGF84419.1	1.1e-181	2.7e-06
AID26312.1	1.1999999999999999e-181	2.1e-05
VEA89085.1	2.9e-181	3.2e-06
QQI31176.1	3.8e-181	5.7e-06
AIL22250.1	1.1e-180	3.3e-08
AUS67547.1	6.499999999999999e-175	6.3e-05
CAS11418.1	8.899999999999999e-175	0.0018
SLM08711.1	8.899999999999999e-175	0.0018
SNU19482.1	8.899999999999999e-175	0.0018
AHE60192.1	1.1e-174	0.0002
BAT45615.1	1.1e-174	0.0002
QST55424.1	1.1e-174	0.0002
QST64323.1	1.1e-174	0.0002
QST73672.1	1.1e-174	0.0002
QTA13103.1	1.8000000000000002e-174	3.9e-05
QST28467.1	1.9999999999999998e-174	4e-05
QST37833.1	1.9999999999999998e-174	4e-05
BAT41366.1	5.1e-174	5e-05
QTA23009.1	5.3000000000000005e-174	2.6e-05
QST46887.1	6.8e-174	4.4e-05
QTA18007.1	8.500000000000001e-174	5.4e-05
BAT37064.1	8.500000000000001e-174	2.6e-05
QSZ86331.1	8.8e-174	9.8e-05
QSZ90715.1	8.8e-174	9.8e-05
QSZ95120.1	8.8e-174	9.8e-05
QTA03900.1	8.8e-174	9.8e-05
CBG90893.1	1.2999999999999998e-173	4.7e-07
QBY30483.1	1.2999999999999998e-173	4.7e-07
UHO32146.1	1.2999999999999998e-173	4.7e-07
QTA27678.1	1.4999999999999999e-173	0.00011
QME70584.1	3.2999999999999996e-173	0.036
QME86516.1	3.2999999999999996e-173	0.036
QME95669.1	3.2999999999999996e-173	0.036
QMG50490.1	3.2999999999999996e-173	0.036
QTA08584.1	3.4e-173	3.2e-05
QLM91753.1	3.9e-173	0.011
QLN38602.1	3.9e-173	0.011
QMH69201.1	3.9e-173	0.011
QML48358.1	3.9e-173	0.011
QMC80260.1	4e-173	0.024
UPJ19943.1	4e-173	0.024
CAQ91345.1	1.1e-172	0.037
QKD63509.1	1.1e-172	0.037
QMA99609.1	1.1e-172	0.037
QMB08565.1	1.1e-172	0.037
QMC62435.1	1.1e-172	0.037
QME97646.1	1.1e-172	0.037
QMI35871.1	1.1e-172	0.037
QMI39935.1	1.1e-172	0.037
QMJ68084.1	1.1e-172	0.037
QMJ72546.1	1.1e-172	0.037
UAW34788.1	1.1e-172	0.037
UAW39131.1	1.1e-172	0.037
UAW44432.1	1.1e-172	0.037
URA02464.1	1.1e-172	0.037
QML70191.1	1.6e-172	0.063
QMF18543.1	1.9e-172	0.083
QMH61011.1	1.9e-172	0.083
AXM04103.1	1.9999999999999998e-172	0.0017
AUA41467.1	2.6999999999999997e-172	0.0075
QME61383.1	5.399999999999999e-172	0.032
QME65995.1	5.399999999999999e-172	0.032
QCZ30486.1	5.5e-172	0.004
QMF35955.1	5.9e-172	0.0094
QML20459.1	5.9e-172	0.0094
QLM10330.1	6.1e-172	0.0081
QLM14922.1	6.1e-172	0.0081
QLM19517.1	6.1e-172	0.0081
QLM98354.1	6.1e-172	0.0081
QMF78560.1	6.1e-172	0.0081
QMH99200.1	6.1e-172	0.0081
QMQ72823.1	6.1e-172	0.0081
AUO55314.1	6.1e-172	0.0012
AXI33064.1	6.1e-172	0.0012
AZW02574.1	6.1e-172	0.0012
QBP88304.1	6.1e-172	0.0012
QDJ86030.1	6.1e-172	0.0012
QEG93766.1	6.1e-172	0.0012
QFF93066.1	6.1e-172	0.0012
QHF76426.1	6.1e-172	0.0012
QHG39067.1	6.1e-172	0.0012
QHM99977.1	6.1e-172	0.0012
QLN12740.1	6.1e-172	0.0012
QSR37119.1	6.1e-172	0.0012
VDY77745.1	6.1e-172	0.0012
VDY96513.1	6.1e-172	0.0012
VDZ29100.1	6.1e-172	0.0012
VEA49612.1	6.1e-172	0.0012
VEC23418.1	6.1e-172	0.0012
VEC76404.1	6.1e-172	0.0012
VED16258.1	6.1e-172	0.0012
VEE27947.1	6.1e-172	0.0012
AUT28713.1	7.5e-172	0.00011
ULK56411.1	7.899999999999999e-172	0.0011
AKA92808.1	8.8e-172	0.00072
AMU84193.1	8.8e-172	0.00072
ANO27778.1	8.8e-172	0.00072
APA24333.1	8.8e-172	0.00072
APE55353.1	8.8e-172	0.00072
APE60303.1	8.8e-172	0.00072
APE65183.1	8.8e-172	0.00072
APE70018.1	8.8e-172	0.00072
APK17557.1	8.8e-172	0.00072
APK41132.1	8.8e-172	0.00072
APK74681.1	8.8e-172	0.00072
AQU01413.1	8.8e-172	0.00072
AQV35038.1	8.8e-172	0.00072
AQV88093.1	8.8e-172	0.00072
ARQ24177.1	8.8e-172	0.00072
ARR33041.1	8.8e-172	0.00072
ARW85598.1	8.8e-172	0.00072
ARX16556.1	8.8e-172	0.00072
ARX28410.1	8.8e-172	0.00072
ARZ84036.1	8.8e-172	0.00072
ARZ87940.1	8.8e-172	0.00072
ASB78270.1	8.8e-172	0.00072
ASZ48087.1	8.8e-172	0.00072
ATB96073.1	8.8e-172	0.00072
ATC09763.1	8.8e-172	0.00072
ATM10470.1	8.8e-172	0.00072
ATW95767.1	8.8e-172	0.00072
ATX18209.1	8.8e-172	0.00072
ATX48459.1	8.8e-172	0.00072
