acc	evalue_clade1	score_clade1	evalue_clade2	score_clade2
CCC32346.1	5.8e-185	627.5	4.2e-05	34.6
QGF75533.1	5.8e-185	627.5	4.2e-05	34.6
QQP75300.1	5.8e-185	627.5	4.2e-05	34.6
QUZ59049.1	5.8e-185	627.5	4.2e-05	34.6
QVP37536.1	5.8e-185	627.5	4.2e-05	34.6
QXY83577.1	5.8e-185	627.5	4.2e-05	34.6
ASO08561.1	5.9e-185	627.5	0.00013	33.0
QJY53929.1	5.9e-185	627.5	3e-05	35.1
AFH47509.1	6.500000000000001e-185	627.3	3.7e-07	41.4
QBM65306.1	7.2e-185	627.2	3.5e-07	41.5
QCC13845.1	7.2e-185	627.2	3.5e-07	41.5
SQH38459.1	7.8e-185	627.0	1.8e-05	35.9
ACH77456.1	8.2e-185	627.0	5.1e-07	41.0
ADO51962.1	8.2e-185	627.0	5.1e-07	41.0
AHO26667.1	8.2e-185	627.0	5.1e-07	41.0
AHO30713.1	8.2e-185	627.0	5.1e-07	41.0
AHO35111.1	8.2e-185	627.0	5.1e-07	41.0
AHO39542.1	8.2e-185	627.0	5.1e-07	41.0
AHO43823.1	8.2e-185	627.0	5.1e-07	41.0
AHO48103.1	8.2e-185	627.0	5.1e-07	41.0
AHO52653.1	8.2e-185	627.0	5.1e-07	41.0
AHO56976.1	8.2e-185	627.0	5.1e-07	41.0
AHO61347.1	8.2e-185	627.0	5.1e-07	41.0
AHO65677.1	8.2e-185	627.0	5.1e-07	41.0
AHO70019.1	8.2e-185	627.0	5.1e-07	41.0
AHO91507.1	8.2e-185	627.0	5.1e-07	41.0
AHO95831.1	8.2e-185	627.0	5.1e-07	41.0
AHP00100.1	8.2e-185	627.0	5.1e-07	41.0
AHP04368.1	8.2e-185	627.0	5.1e-07	41.0
AHP08697.1	8.2e-185	627.0	5.1e-07	41.0
AHP12969.1	8.2e-185	627.0	5.1e-07	41.0
AHP17239.1	8.2e-185	627.0	5.1e-07	41.0
AHP21577.1	8.2e-185	627.0	5.1e-07	41.0
AHP25854.1	8.2e-185	627.0	5.1e-07	41.0
AHP30190.1	8.2e-185	627.0	5.1e-07	41.0
AHP34486.1	8.2e-185	627.0	5.1e-07	41.0
AHP38741.1	8.2e-185	627.0	5.1e-07	41.0
AHP43012.1	8.2e-185	627.0	5.1e-07	41.0
AHP47351.1	8.2e-185	627.0	5.1e-07	41.0
AHP49897.1	8.2e-185	627.0	5.1e-07	41.0
AHP54500.1	8.2e-185	627.0	5.1e-07	41.0
AHP58798.1	8.2e-185	627.0	5.1e-07	41.0
AHP62896.1	8.2e-185	627.0	5.1e-07	41.0
AHP67197.1	8.2e-185	627.0	5.1e-07	41.0
AHP71436.1	8.2e-185	627.0	5.1e-07	41.0
AHP75841.1	8.2e-185	627.0	5.1e-07	41.0
AHP80213.1	8.2e-185	627.0	5.1e-07	41.0
AHP84584.1	8.2e-185	627.0	5.1e-07	41.0
AHP88857.1	8.2e-185	627.0	5.1e-07	41.0
AHP93113.1	8.2e-185	627.0	5.1e-07	41.0
AHP97398.1	8.2e-185	627.0	5.1e-07	41.0
AHQ01680.1	8.2e-185	627.0	5.1e-07	41.0
AHQ05960.1	8.2e-185	627.0	5.1e-07	41.0
AHQ10235.1	8.2e-185	627.0	5.1e-07	41.0
AHQ14570.1	8.2e-185	627.0	5.1e-07	41.0
AHQ18849.1	8.2e-185	627.0	5.1e-07	41.0
AHQ23117.1	8.2e-185	627.0	5.1e-07	41.0
AHQ31628.1	8.2e-185	627.0	5.1e-07	41.0
AHQ35543.1	8.2e-185	627.0	5.1e-07	41.0
AHQ49394.1	8.2e-185	627.0	5.1e-07	41.0
AHQ53657.1	8.2e-185	627.0	5.1e-07	41.0
AHQ57943.1	8.2e-185	627.0	5.1e-07	41.0
AHQ62225.1	8.2e-185	627.0	5.1e-07	41.0
AHQ66518.1	8.2e-185	627.0	5.1e-07	41.0
AHQ70938.1	8.2e-185	627.0	5.1e-07	41.0
AHQ75398.1	8.2e-185	627.0	5.1e-07	41.0
AHQ79763.1	8.2e-185	627.0	5.1e-07	41.0
AHQ84043.1	8.2e-185	627.0	5.1e-07	41.0
AHQ88326.1	8.2e-185	627.0	5.1e-07	41.0
AHQ92608.1	8.2e-185	627.0	5.1e-07	41.0
AHQ96887.1	8.2e-185	627.0	5.1e-07	41.0
AHQ99200.1	8.2e-185	627.0	5.1e-07	41.0
AHR03958.1	8.2e-185	627.0	5.1e-07	41.0
AHR07875.1	8.2e-185	627.0	5.1e-07	41.0
AHR12261.1	8.2e-185	627.0	5.1e-07	41.0
AHR16701.1	8.2e-185	627.0	5.1e-07	41.0
AHR21104.1	8.2e-185	627.0	5.1e-07	41.0
AHR25508.1	8.2e-185	627.0	5.1e-07	41.0
AHR29798.1	8.2e-185	627.0	5.1e-07	41.0
AHR34064.1	8.2e-185	627.0	5.1e-07	41.0
AHR38360.1	8.2e-185	627.0	5.1e-07	41.0
AHR42653.1	8.2e-185	627.0	5.1e-07	41.0
AHR44983.2	8.2e-185	627.0	5.1e-07	41.0
AHR49809.1	8.2e-185	627.0	5.1e-07	41.0
AHR54086.1	8.2e-185	627.0	5.1e-07	41.0
AHR58369.1	8.2e-185	627.0	5.1e-07	41.0
AHR62653.1	8.2e-185	627.0	5.1e-07	41.0
AHR64762.1	8.2e-185	627.0	5.1e-07	41.0
AHR69422.1	8.2e-185	627.0	5.1e-07	41.0
AHR73679.1	8.2e-185	627.0	5.1e-07	41.0
AHR77949.1	8.2e-185	627.0	5.1e-07	41.0
AHR82225.1	8.2e-185	627.0	5.1e-07	41.0
AHR85632.1	8.2e-185	627.0	5.1e-07	41.0
AHR90081.1	8.2e-185	627.0	5.1e-07	41.0
AHR94360.1	8.2e-185	627.0	5.1e-07	41.0
AHR98640.1	8.2e-185	627.0	5.1e-07	41.0
AHS02876.1	8.2e-185	627.0	5.1e-07	41.0
AHS07163.1	8.2e-185	627.0	5.1e-07	41.0
AHS11445.1	8.2e-185	627.0	5.1e-07	41.0
AHS15727.1	8.2e-185	627.0	5.1e-07	41.0
AHS19658.1	8.2e-185	627.0	5.1e-07	41.0
AHS23155.1	8.2e-185	627.0	5.1e-07	41.0
AHS26330.2	8.2e-185	627.0	5.1e-07	41.0
AHS29970.1	8.2e-185	627.0	5.1e-07	41.0
AHS34246.1	8.2e-185	627.0	5.1e-07	41.0
AHS38533.1	8.2e-185	627.0	5.1e-07	41.0
AHS42450.1	8.2e-185	627.0	5.1e-07	41.0
AHS46140.1	8.2e-185	627.0	5.1e-07	41.0
AHS49080.1	8.2e-185	627.0	5.1e-07	41.0
AHS57976.1	8.2e-185	627.0	5.1e-07	41.0
AHS59679.1	8.2e-185	627.0	5.1e-07	41.0
AHS64055.1	8.2e-185	627.0	5.1e-07	41.0
AHS72422.1	8.2e-185	627.0	5.1e-07	41.0
AHS78847.1	8.2e-185	627.0	5.1e-07	41.0
AHS83107.1	8.2e-185	627.0	5.1e-07	41.0
AHS87149.1	8.2e-185	627.0	5.1e-07	41.0
AHS91475.1	8.2e-185	627.0	5.1e-07	41.0
AHS95753.1	8.2e-185	627.0	5.1e-07	41.0
AHT00023.1	8.2e-185	627.0	5.1e-07	41.0
AHT04275.1	8.2e-185	627.0	5.1e-07	41.0
AHT06220.2	8.2e-185	627.0	5.1e-07	41.0
AHT11042.1	8.2e-185	627.0	5.1e-07	41.0
AHT15327.1	8.2e-185	627.0	5.1e-07	41.0
AHT19606.1	8.2e-185	627.0	5.1e-07	41.0
AHT23844.1	8.2e-185	627.0	5.1e-07	41.0
AHT28087.1	8.2e-185	627.0	5.1e-07	41.0
AHT32354.1	8.2e-185	627.0	5.1e-07	41.0
AHT36603.1	8.2e-185	627.0	5.1e-07	41.0
AHT40643.1	8.2e-185	627.0	5.1e-07	41.0
AHT44984.1	8.2e-185	627.0	5.1e-07	41.0
AHT49262.1	8.2e-185	627.0	5.1e-07	41.0
AHT53537.1	8.2e-185	627.0	5.1e-07	41.0
AHT55915.1	8.2e-185	627.0	5.1e-07	41.0
AHT60661.1	8.2e-185	627.0	5.1e-07	41.0
AHT64924.1	8.2e-185	627.0	5.1e-07	41.0
AHT69202.1	8.2e-185	627.0	5.1e-07	41.0
AHT73482.1	8.2e-185	627.0	5.1e-07	41.0
AHT77766.1	8.2e-185	627.0	5.1e-07	41.0
AHT82035.1	8.2e-185	627.0	5.1e-07	41.0
AHT86314.1	8.2e-185	627.0	5.1e-07	41.0
AHT90686.1	8.2e-185	627.0	5.1e-07	41.0
AHT95080.1	8.2e-185	627.0	5.1e-07	41.0
AHT97679.1	8.2e-185	627.0	5.1e-07	41.0
AHT99849.1	8.2e-185	627.0	5.1e-07	41.0
AHU04271.1	8.2e-185	627.0	5.1e-07	41.0
AHU08470.1	8.2e-185	627.0	5.1e-07	41.0
AHU12632.1	8.2e-185	627.0	5.1e-07	41.0
AHU16865.1	8.2e-185	627.0	5.1e-07	41.0
AHU21152.1	8.2e-185	627.0	5.1e-07	41.0
AHU25433.1	8.2e-185	627.0	5.1e-07	41.0
AHU29705.1	8.2e-185	627.0	5.1e-07	41.0
AHU33966.1	8.2e-185	627.0	5.1e-07	41.0
AHU38246.1	8.2e-185	627.0	5.1e-07	41.0
AHU42451.1	8.2e-185	627.0	5.1e-07	41.0
AHU46723.1	8.2e-185	627.0	5.1e-07	41.0
AHU50997.1	8.2e-185	627.0	5.1e-07	41.0
AHU55100.1	8.2e-185	627.0	5.1e-07	41.0
AHU59412.1	8.2e-185	627.0	5.1e-07	41.0
AHU63691.1	8.2e-185	627.0	5.1e-07	41.0
AHU67965.1	8.2e-185	627.0	5.1e-07	41.0
AHU72222.1	8.2e-185	627.0	5.1e-07	41.0
AHU76510.1	8.2e-185	627.0	5.1e-07	41.0
AHU80793.1	8.2e-185	627.0	5.1e-07	41.0
AHU94212.1	8.2e-185	627.0	5.1e-07	41.0
AHU98551.1	8.2e-185	627.0	5.1e-07	41.0
AHV02884.1	8.2e-185	627.0	5.1e-07	41.0
AHV07227.1	8.2e-185	627.0	5.1e-07	41.0
AHV11560.1	8.2e-185	627.0	5.1e-07	41.0
AHV15934.1	8.2e-185	627.0	5.1e-07	41.0
AHV20268.1	8.2e-185	627.0	5.1e-07	41.0
AHV28532.1	8.2e-185	627.0	5.1e-07	41.0
AHV32863.1	8.2e-185	627.0	5.1e-07	41.0
AHV41282.1	8.2e-185	627.0	5.1e-07	41.0
AHV47311.1	8.2e-185	627.0	5.1e-07	41.0
AHV51508.1	8.2e-185	627.0	5.1e-07	41.0
AHV55686.1	8.2e-185	627.0	5.1e-07	41.0
AHV60570.1	8.2e-185	627.0	5.1e-07	41.0
AHV64027.1	8.2e-185	627.0	5.1e-07	41.0
AHV68931.1	8.2e-185	627.0	5.1e-07	41.0
AHV72704.1	8.2e-185	627.0	5.1e-07	41.0
AHV76944.1	8.2e-185	627.0	5.1e-07	41.0
AHW04465.1	8.2e-185	627.0	5.1e-07	41.0
AHZ04619.1	8.2e-185	627.0	5.1e-07	41.0
AIK99691.1	8.2e-185	627.0	5.1e-07	41.0
AIM89846.1	8.2e-185	627.0	5.1e-07	41.0
AIM94211.1	8.2e-185	627.0	5.1e-07	41.0
AIN68262.1	8.2e-185	627.0	5.1e-07	41.0
AKG75502.1	8.2e-185	627.0	5.1e-07	41.0
AKQ36241.1	8.2e-185	627.0	5.1e-07	41.0
AKR61893.1	8.2e-185	627.0	5.1e-07	41.0
AKR66159.1	8.2e-185	627.0	5.1e-07	41.0
ALG55022.1	8.2e-185	627.0	5.1e-07	41.0
ALV19638.1	8.2e-185	627.0	5.1e-07	41.0
AMJ19034.1	8.2e-185	627.0	5.1e-07	41.0
AMJ19804.1	8.2e-185	627.0	5.1e-07	41.0
AMJ20475.1	8.2e-185	627.0	5.1e-07	41.0
AMJ21259.1	8.2e-185	627.0	5.1e-07	41.0
AML83180.1	8.2e-185	627.0	5.1e-07	41.0
AMM69491.1	8.2e-185	627.0	5.1e-07	41.0
AMN23074.1	8.2e-185	627.0	5.1e-07	41.0
AMN29544.1	8.2e-185	627.0	5.1e-07	41.0
ANF20746.1	8.2e-185	627.0	5.1e-07	41.0
ATD32168.1	8.2e-185	627.0	5.1e-07	41.0
ATD42355.1	8.2e-185	627.0	5.1e-07	41.0
AUU19458.1	8.2e-185	627.0	5.1e-07	41.0
AVB03715.1	8.2e-185	627.0	5.1e-07	41.0
AXX34523.1	8.2e-185	627.0	5.1e-07	41.0
AZI93605.1	8.2e-185	627.0	5.1e-07	41.0
CAR35114.1	8.2e-185	627.0	5.1e-07	41.0
CAR39498.1	8.2e-185	627.0	5.1e-07	41.0
CDS71162.1	8.2e-185	627.0	5.1e-07	41.0
QBA02892.1	8.2e-185	627.0	5.1e-07	41.0
QEO47726.1	8.2e-185	627.0	5.1e-07	41.0
QQC17820.1	8.2e-185	627.0	5.1e-07	41.0
QTA60164.1	8.2e-185	627.0	5.1e-07	41.0
QTA64548.1	8.2e-185	627.0	5.1e-07	41.0
QTA69173.1	8.2e-185	627.0	5.1e-07	41.0
QVI90630.1	8.2e-185	627.0	5.1e-07	41.0
QVI95111.1	8.2e-185	627.0	5.1e-07	41.0
UQS59701.1	8.2e-185	627.0	5.1e-07	41.0
AAV79366.1	8.2e-185	627.0	7.6e-07	40.4
AJD97539.1	8.2e-185	627.0	7.6e-07	40.4
AJD99238.1	8.2e-185	627.0	7.6e-07	40.4
AKO81534.1	8.2e-185	627.0	7.6e-07	40.4
CAR61594.1	8.2e-185	627.0	7.6e-07	40.4
AGX12201.1	8.7e-185	626.9	2.3e-05	35.5
AKG79942.1	8.7e-185	626.9	2.3e-05	35.5
ALH00814.1	8.7e-185	626.9	2.3e-05	35.5
ALH05182.1	8.7e-185	626.9	2.3e-05	35.5
AUO50061.1	8.7e-185	626.9	2.3e-05	35.5
QCW67539.1	8.7e-185	626.9	2.3e-05	35.5
QGR30453.1	8.8e-185	626.9	4.6e-07	41.1
UBS82770.1	8.8e-185	626.9	4.6e-07	41.1
AHW15616.1	9.2e-185	626.8	7.6e-09	47.0
AJQ67158.1	9.2e-185	626.8	7.6e-09	47.0
AJZ77525.1	9.2e-185	626.8	7.6e-09	47.0
AKF91339.1	9.2e-185	626.8	7.6e-09	47.0
ALO85098.1	9.2e-185	626.8	7.6e-09	47.0
ALO89684.1	9.2e-185	626.8	7.6e-09	47.0
AMY72655.1	9.2e-185	626.8	7.6e-09	47.0
AMY77004.1	9.2e-185	626.8	7.6e-09	47.0
AMY81751.1	9.2e-185	626.8	7.6e-09	47.0
AMY86326.1	9.2e-185	626.8	7.6e-09	47.0
AMZ05415.1	9.2e-185	626.8	7.6e-09	47.0
AMZ09978.1	9.2e-185	626.8	7.6e-09	47.0
AMZ14455.1	9.2e-185	626.8	7.6e-09	47.0
AMZ18895.1	9.2e-185	626.8	7.6e-09	47.0
QQH84751.1	9.2e-185	626.8	7.6e-09	47.0
QQI82248.1	9.2e-185	626.8	7.6e-09	47.0
QQJ26254.1	9.2e-185	626.8	7.6e-09	47.0
AGR60974.1	9.8e-185	626.7	4.6e-05	34.5
ACN47871.1	9.9e-185	626.7	1.6e-05	36.0
AIK94676.1	9.9e-185	626.7	1.6e-05	36.0
QEP94993.1	9.9e-185	626.7	1.6e-05	36.0
QQI30680.1	9.9e-185	626.7	1.6e-05	36.0
AVS11526.1	9.999999999999999e-185	626.7	5e-07	41.0
AWE23002.1	9.999999999999999e-185	626.7	5e-07	41.0
AWE32099.1	9.999999999999999e-185	626.7	5e-07	41.0
AZZ02324.1	9.999999999999999e-185	626.7	5e-07	41.0
CRY84840.1	9.999999999999999e-185	626.7	5e-07	41.0
QQH73212.1	9.999999999999999e-185	626.7	5e-07	41.0
QQI59049.1	9.999999999999999e-185	626.7	5e-07	41.0
QQJ19290.1	9.999999999999999e-185	626.7	5e-07	41.0
ACF92659.1	1.1e-184	626.6	1.5e-07	42.7
AHW24065.1	1.1e-184	626.6	1.5e-07	42.7
QKW84828.1	1.1e-184	626.6	1.5e-07	42.7
QQH98495.1	1.1e-184	626.6	1.5e-07	42.7
QQI55355.1	1.1e-184	626.6	1.5e-07	42.7
UBX33158.1	1.1e-184	626.6	1.5e-07	42.7
QGR35410.1	1.1e-184	626.5	2.3e-07	42.1
QQH70828.1	1.1e-184	626.5	2.3e-07	42.1
QQI81234.1	1.1e-184	626.5	2.3e-07	42.1
ASG86193.1	1.2e-184	626.4	1.9e-05	35.8
QGR56315.1	1.3000000000000002e-184	626.3	5.7e-07	40.8
ASO35312.1	1.4e-184	626.3	1.4e-05	36.2
QQJ10334.1	1.4e-184	626.2	1.8e-05	35.9
AHQ44704.2	1.5e-184	626.1	6.3e-07	40.6
ABX69923.1	1.6e-184	626.0	4.3e-07	41.2
AHW26131.1	1.6e-184	626.0	4.3e-07	41.2
SBL11469.1	1.6e-184	626.0	4.3e-07	41.2
AGQ74882.1	1.7e-184	626.0	4.2e-07	41.2
QQJ33739.1	1.7e-184	626.0	4.2e-07	41.2
QED01885.1	1.7e-184	626.0	8e-07	40.3
QKW79532.1	1.7e-184	626.0	8e-07	40.3
AAX67542.1	1.8e-184	625.9	0.00011	33.2
AHQ27376.2	1.8e-184	625.9	1.1e-06	39.9
AHS68213.2	1.8e-184	625.9	1.1e-06	39.9
AKG32385.1	1.9e-184	625.8	5.1e-05	34.4
ASO26963.1	1.9e-184	625.8	5.1e-05	34.4
QEX03527.1	1.9e-184	625.8	5.1e-05	34.4
ASO42327.1	1.9e-184	625.8	6.2e-07	40.7
QDL21450.1	1.9e-184	625.8	6.2e-07	40.7
QQI02891.1	1.9e-184	625.8	6.2e-07	40.7
QQJ85390.1	1.9e-184	625.8	6.2e-07	40.7
AAL22572.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ACF69468.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ADX19503.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AEF09545.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AFD60572.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AGK11346.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AGQ62533.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AGQ69865.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AGQ78336.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AGQ84286.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AHB95558.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AHX79406.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AJQ80852.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AKD10392.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AKH09342.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ALE64173.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ALN25518.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ALN30143.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ALN34879.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMG25859.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AML90921.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AML96791.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMM01514.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMP80890.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMW96954.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ23182.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ27677.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ32274.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ36777.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ41528.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ46212.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ50911.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ55625.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ60323.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AMZ65063.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ANU86752.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ANU91230.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ANU95704.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ANV00185.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ANV04771.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ANV09340.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ANV13924.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ANV18492.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ARE50068.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ASE69506.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
ASF66623.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AVL59488.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AVL60595.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AWO06558.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AWO10031.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AWO51036.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AWO59023.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
AZU09915.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
BAJ38713.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
BAP09686.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
CBG26715.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
CBW19773.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
CCW76395.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
CDG09754.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QBR63812.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QCG26437.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QDD29075.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QGR48945.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QKX32519.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QQB57243.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QQH29618.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QQH43844.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QQI17173.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QQI45125.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QQI49600.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QQI63641.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
QQJ14466.1	1.9999999999999999e-184	625.7	5.7e-07	40.8
VEA00208.1	2.5e-184	625.4	1e-08	46.6
BBN70841.1	2.5e-184	625.4	9.9e-07	40.0
BBN75310.1	2.6000000000000003e-184	625.3	8e-07	40.3
AET56089.1	2.7e-184	625.3	6e-07	40.7
AGS64681.1	2.7e-184	625.3	6e-07	40.7
AGU66590.1	2.7e-184	625.3	6e-07	40.7
AKW09456.1	2.7e-184	625.3	6e-07	40.7
CDS69581.1	2.7e-184	625.3	6e-07	40.7
AID26312.1	2.7e-184	625.3	8.5e-05	33.6
QQH89666.1	3.1e-184	625.1	1.2e-06	39.7
AZY96195.1	3.7e-184	624.8	2.6e-06	38.6
ASO36449.1	4.6e-184	624.5	2.2e-07	42.2
QQI68437.1	4.6e-184	624.5	2.2e-07	42.2
AHN78093.1	4.8e-184	624.4	9.7e-07	40.0
AMW51885.1	4.8e-184	624.4	9.7e-07	40.0
AZI76465.1	4.8e-184	624.4	9.7e-07	40.0
AAO71288.1	5.1e-184	624.3	2.3e-08	45.4
AEZ47606.1	5.1e-184	624.3	2.3e-08	45.4
AGK69318.1	5.1e-184	624.3	2.3e-08	45.4
ALG18201.1	5.1e-184	624.3	2.3e-08	45.4
ALG20643.1	5.1e-184	624.3	2.3e-08	45.4
CAD03281.1	5.1e-184	624.3	2.3e-08	45.4
QGT85095.1	5.1e-184	624.3	2.3e-08	45.4
ASO61629.1	5.8e-184	624.2	1.3e-06	39.6
QJY75969.1	5.8e-184	624.2	1.3e-06	39.6
VDY36923.1	5.8e-184	624.2	1.3e-06	39.6
ALP95897.1	5.9e-184	624.2	1e-06	40.0
ASE75858.1	5.9e-184	624.2	1e-06	40.0
ASO46334.1	5.9e-184	624.2	1e-06	40.0
AVS18204.1	5.9e-184	624.2	1e-06	40.0
CDF55989.1	5.9e-184	624.2	1e-06	40.0
QQH94090.1	5.9e-184	624.2	1e-06	40.0
QQI35500.1	5.9e-184	624.2	1e-06	40.0
